Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;1;0;-0,0530379017149443;;0;1,55208333333333;1
0,1;0;1;1;0,00266176682519159;;0;1,55208333333333;1
0,201;0;0;2;0,0583614353653275;;0;1,94010416666667;1
0,3;0;0;3;0,114061103905463;;0;1,94010416666667;1
0,4;0;0;4;0,169760772445599;;0;2,328125;1
0,5;0;0;5;0,225460440985731;;0;1,94010416666667;1
0,601;0;0;6;0,281160109525867;;0;1,94010416666667;1
0,7;0;0;7;0,336859778066003;;0;1,94010416666667;1
0,799;0;0;8;0,392559446606139;;0;1,94010416666667;1
0,9;0;0;9;0,448259115146275;40,336410020262;0;1,94010416666667;1
1,001;0;0;10;0,503958783686411;40,336410020262;0;1,94010416666667;1
1,1;0;0;11;0,559658452226547;40,336410020262;0;1,94010416666667;1
1,2;0;0;12;0,615358120766683;40,336410020262;0;1,55208333333333;1
1,3;0;0;13;0,671057789306818;40,336410020262;0;1,55208333333333;1
1,4;0;0;14;0,726757457846954;40,336410020262;0;1,1640625;1
1,5;0;0;15;0,78245712638709;40,336410020262;0;1,1640625;1
1,6;0;0;16;0,838156794927226;40,336410020262;0;1,1640625;1
1,7;0;0;17;0,893856463467362;40,336410020262;0;1,1640625;1
1,8;0;0;18;0,949556132007494;33,3321000456316;0;1,1640625;1
1,9;0;0;19;1,00525580054763;33,3321000456316;0;1,55208333333333;1
2,001;0;0;20;1,06095546908776;33,3321000456316;0;1,55208333333333;1
2,1;0;0;21;1,1166551376279;33,3321000456316;0;1,55208333333333;1
2,201;0;0;22;1,17235480616803;33,3321000456316;0;1,55208333333333;1
2,3;0;0;23;1,22805447470817;33,3321000456316;0;1,55208333333333;1
2,4;0;0;24;1,28375414324831;33,3321000456316;0;1,55208333333333;1
2,5;0;0;25;1,33945381178844;33,3321000456316;0;1,55208333333333;1
2,599;0;0;26;1,39515348032858;33,3321000456316;0;1,94010416666667;1
2,7;0;0;27;1,45085314886871;33,3321000456316;0;2,328125;1
2,8;0;0;28;1,50655281740885;38,0119357478248;0;1,94010416666667;1
2,9;0;0;29;1,56225248594899;38,0119357478248;0;1,55208333333333;1
3;0;1;30;1,61795215448912;38,0119357478248;0;1,94010416666667;1
3,101;0;0;31;1,67365182302925;38,0119357478248;0;2,328125;1
3,2;0;0;32;1,72935149156939;38,0119357478248;0;2,328125;1
3,301;0;0;33;1,78505116010953;38,0119357478248;0;2,328125;1
3,4;0;0;34;1,84075082864966;38,0119357478248;0;2,328125;1
3,5;0;0;35;1,8964504971898;38,0119357478248;0;2,328125;1
3,601;0;0;36;1,95215016572993;38,0119357478248;0;2,328125;1
3,701;0;0;37;2,00784983427007;41,0524334994958;0;2,328125;1
3,8;0;1;38;2,0635495028102;41,0524334994958;0;2,328125;1
3,901;0;1;39;2,11924917135034;41,0524334994958;0;2,328125;1
4;0;1;40;2,17494883989048;41,0524334994958;0;1,94010416666667;1
4,1;0;1;41;2,23064850843061;41,0524334994958;0;1,55208333333333;1
4,2;0;0;42;2,28634817697075;41,0524334994958;0;1,1640625;1
4,301;0;2;43;2,34204784551088;41,0524334994958;0;1,1640625;1
4,4;0;3;44;2,39774751405101;41,0524334994958;0;1,1640625;1
4,5;0;2;45;2,45344718259115;41,0524334994958;0;1,1640625;1
4,601;0;3;46;2,50914685113129;32,2209584446299;0;1,1640625;1
4,7;0;9;47;2,56484651967142;32,2209584446299;0;0,776041666666667;1
4,8;0;7;48;2,62054618821156;32,2209584446299;0;0,388020833333333;1
4,901;0;8;49;2,67624585675169;32,2209584446299;0;0,388020833333333;1
5,001;0;10;50;2,73194552529183;32,2209584446299;0;0,776041666666667;1
5,1;0;11;51;2,78764519383196;32,2209584446299;0;1,1640625;1
5,201;0;10;52;2,8433448623721;32,2209584446299;0;0,776041666666667;1
5,3;0;9;53;2,89904453091224;32,2209584446299;0;0,776041666666667;1
5,401;0;8;54;2,95474419945237;32,2209584446299;0;0,388020833333333;1
5,5;0;3;55;3,01044386799251;32,2209584446299;0;0,388020833333333;1
5,6;0;8;56;3,06614353653264;33,0218241235633;0;0,388020833333333;1
5,701;0;2;57;3,12184320507278;33,0218241235633;0;0,388020833333333;1
5,8;0;10;58;3,17754287361291;33,0218241235633;0;0,388020833333333;1
5,9;0;8;59;3,23324254215305;33,0218241235633;0;0,776041666666667;1
6;0;4;60;3,28894221069318;33,0218241235633;0;0,388020833333333;1
6,099;0;7;61;3,34464187923332;33,0218241235633;0;0,776041666666667;1
6,2;0;9;62;3,40034154777346;33,0218241235633;0;1,1640625;1
6,3;0;10;63;3,45604121631359;33,0218241235633;0;1,1640625;1
6,401;0;4;64;3,51174088485373;33,0218241235633;0;1,55208333333333;1
6,501;0;6;65;3,56744055339386;18,868127659088;0;1,55208333333333;1
6,601;0;6;66;3,623140221934;18,868127659088;0;1,55208333333333;1
6,701;0;7;67;3,67883989047413;18,868127659088;0;1,55208333333333;1
6,8;0;14;68;3,73453955901427;18,868127659088;0;1,55208333333333;1
6,899;0;4;69;3,7902392275544;18,868127659088;0;1,1640625;1
7;0;9;70;3,84593889609454;18,868127659088;0;1,1640625;1
7,1;0;5;71;3,90163856463468;18,868127659088;0;1,1640625;1
7,2;0;8;72;3,95733823317481;18,868127659088;0;1,1640625;1
7,301;0;5;73;4,01303790171495;18,868127659088;0;1,1640625;1
7,4;0;6;74;4,06873757025508;18,868127659088;0;1,1640625;1
7,5;0;9;75;4,12443723879522;34,0667435639906;0;1,1640625;1
7,6;0;3;76;4,18013690733535;34,0667435639906;0;1,1640625;1
7,7;0;10;77;4,23583657587549;34,0667435639906;0;1,1640625;1
7,8;0;5;78;4,29153624441562;34,0667435639906;0;1,1640625;1
7,9;0;8;79;4,34723591295576;34,0667435639906;0;1,1640625;1
8,001;0;4;80;4,40293558149589;34,0667435639906;0;1,1640625;1
8,101;0;4;81;4,45863525003603;34,0667435639906;0;1,1640625;1
8,2;0;5;82;4,51433491857616;34,0667435639906;0;1,55208333333333;1
8,299;0;4;83;4,5700345871163;34,0667435639906;0;1,1640625;1
8,4;0;9;84;4,62573425565644;23,323941559532;0;1,1640625;1
8,5;0;4;85;4,68143392419657;23,323941559532;0;1,1640625;1
8,6;0;3;86;4,73713359273671;23,323941559532;0;0,776041666666667;1
8,7;0;5;87;4,79283326127684;23,323941559532;0;0,776041666666667;1
8,8;0;8;88;4,84853292981698;23,323941559532;0;0,388020833333333;1
8,9;0;7;89;4,90423259835711;23,323941559532;0;0,776041666666667;1
9,001;0;7;90;4,95993226689725;23,323941559532;0;1,1640625;1
9,101;0;11;91;5,01563193543738;23,323941559532;0;1,1640625;1
9,2;0;5;92;5,07133160397752;23,323941559532;0;1,1640625;1
9,3;0;2;93;5,12703127251765;24,4287449043859;0;1,1640625;1
9,401;0;7;94;5,18273094105779;24,4287449043859;0;1,1640625;1
9,5;0;11;95;5,23843060959793;24,4287449043859;0;1,1640625;1
9,599;0;3;96;5,29413027813806;24,4287449043859;0;1,1640625;1
9,7;0;4;97;5,3498299466782;24,4287449043859;0;1,1640625;1
9,8;0;6;98;5,40552961521833;24,4287449043859;0;1,1640625;1
9,899;0;9;99;5,46122928375847;24,4287449043859;0;1,1640625;1
10;0;5;100;5,5169289522986;24,4287449043859;0;1,1640625;1
10,099;0;5;101;5,57262862083874;24,4287449043859;0;1,1640625;1
10,2;0;7;102;5,62832828937887;25,5548087872543;0;1,1640625;1
10,3;0;6;103;5,68402795791901;25,5548087872543;0;1,1640625;1
10,399;0;12;104;5,73972762645914;25,5548087872543;0;0,776041666666667;1
10,5;0;8;105;5,79542729499928;25,5548087872543;0;1,1640625;1
10,599;0;8;106;5,85112696353942;25,5548087872543;0;1,1640625;1
10,7;0;8;107;5,90682663207955;25,5548087872543;0;1,1640625;1
10,801;0;6;108;5,96252630061969;25,5548087872543;0;1,1640625;1
10,901;0;5;109;6,01822596915982;25,5548087872543;0;1,1640625;1
11,001;0;7;110;6,07392563769996;25,5548087872543;0;1,1640625;1
11,1;0;5;111;6,12962530624009;25,5548087872543;0;1,1640625;1
11,199;0;9;112;6,18532497478023;30,0542659826583;0;1,1640625;1
11,3;0;7;113;6,24102464332037;30,0542659826583;0;1,1640625;1
11,4;0;6;114;6,2967243118605;30,0542659826583;0;1,1640625;1
11,499;0;8;115;6,35242398040063;30,0542659826583;0;1,1640625;1
11,599;0;7;116;6,40812364894077;30,0542659826583;0;1,1640625;1
11,7;0;12;117;6,46382331748091;30,0542659826583;0;1,1640625;1
11,799;0;9;118;6,51952298602104;30,0542659826583;0;1,1640625;1
11,9;0;5;119;6,57522265456118;30,0542659826583;0;1,1640625;1
12;0;12;120;6,63092232310131;30,0542659826583;0;1,1640625;1
12,1;0;10;121;6,68662199164145;28,8573446048641;0;1,1640625;1
12,199;0;9;122;6,74232166018158;28,8573446048641;0;1,1640625;1
12,3;0;10;123;6,79802132872172;28,8573446048641;0;1,55208333333333;1
12,4;0;9;124;6,85372099726185;28,8573446048641;0;1,55208333333333;1
12,5;0;1;125;6,90942066580199;28,8573446048641;0;1,94010416666667;1
12,6;0;5;126;6,96512033434213;28,8573446048641;0;1,94010416666667;1
12,699;0;9;127;7,02082000288226;28,8573446048641;0;1,94010416666667;1
12,8;0;11;128;7,07651967142239;28,8573446048641;0;1,94010416666667;1
12,9;0;8;129;7,13221933996253;28,8573446048641;0;1,94010416666667;1
12,999;0;11;130;7,18791900850267;28,8573446048641;0;1,94010416666667;1
13,099;0;8;131;7,2436186770428;36,0197568366249;0;1,94010416666667;1
13,2;0;4;132;7,29931834558294;36,0197568366249;0;1,55208333333333;1
13,299;0;10;133;7,35501801412307;36,0197568366249;0;1,1640625;1
13,4;0;10;134;7,41071768266321;36,0197568366249;0;1,55208333333333;1
13,501;0;11;135;7,46641735120334;36,0197568366249;0;1,1640625;1
13,6;0;13;136;7,52211701974348;36,0197568366249;0;0,776041666666667;1
13,701;0;7;137;7,57781668828362;36,0197568366249;0;0,776041666666667;1
13,8;0;10;138;7,63351635682375;36,0197568366249;0;0,388020833333333;1
13,899;0;7;139;7,68921602536389;36,0197568366249;0;0,776041666666667;1
14;0;16;140;7,74491569390402;33,3134119130094;0;0,776041666666667;1
