Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;8;0;-0,0530379017149443;;0;0,776041666666667;1
0,101;0;3;1;0,00266176682519159;;0;0,776041666666667;1
0,201;0;0;2;0,0583614353653275;;0;1,1640625;1
0,301;0;0;3;0,114061103905463;;0;1,1640625;1
0,4;0;0;4;0,169760772445599;;0;1,1640625;1
0,5;0;0;5;0,225460440985731;;0;1,1640625;1
0,6;0;0;6;0,281160109525867;;0;1,1640625;1
0,7;0;0;7;0,336859778066003;;0;1,1640625;1
0,8;0;0;8;0,392559446606139;;0;1,1640625;1
0,9;0;0;9;0,448259115146275;213,072605309769;0;1,1640625;1
1;0;0;10;0,503958783686411;213,072605309769;0;1,1640625;1
1,101;0;0;11;0,559658452226547;213,072605309769;0;1,1640625;1
1,2;0;0;12;0,615358120766683;213,072605309769;0;1,1640625;1
1,3;0;0;13;0,671057789306818;213,072605309769;0;1,1640625;1
1,4;0;0;14;0,726757457846954;213,072605309769;0;1,1640625;1
1,5;0;0;15;0,78245712638709;213,072605309769;0;1,1640625;1
1,6;0;0;16;0,838156794927226;213,072605309769;0;1,1640625;1
1,701;0;0;17;0,893856463467362;213,072605309769;0;1,1640625;1
1,8;0;0;18;0,949556132007494;225,396550810989;0;1,1640625;1
1,9;0;0;19;1,00525580054763;225,396550810989;0;1,1640625;1
2,001;0;0;20;1,06095546908776;225,396550810989;0;1,1640625;1
2,1;0;0;21;1,1166551376279;225,396550810989;0;1,1640625;1
2,2;0;0;22;1,17235480616803;225,396550810989;0;1,1640625;1
2,3;0;0;23;1,22805447470817;225,396550810989;0;1,1640625;1
2,401;0;0;24;1,28375414324831;225,396550810989;0;1,1640625;1
2,5;0;0;25;1,33945381178844;225,396550810989;0;1,1640625;1
2,6;0;0;26;1,39515348032858;225,396550810989;0;1,1640625;1
2,7;0;0;27;1,45085314886871;225,396550810989;0;1,1640625;1
2,801;0;0;28;1,50655281740885;198,838165617004;0;1,1640625;1
2,9;0;0;29;1,56225248594899;198,838165617004;0;1,1640625;1
3;0;0;30;1,61795215448912;198,838165617004;0;1,1640625;1
3,1;0;0;31;1,67365182302925;198,838165617004;0;1,1640625;1
3,201;0;0;32;1,72935149156939;198,838165617004;0;1,1640625;1
3,3;0;0;33;1,78505116010953;198,838165617004;0;1,1640625;1
3,401;0;0;34;1,84075082864966;198,838165617004;0;1,1640625;1
3,501;0;0;35;1,8964504971898;198,838165617004;0;1,1640625;1
3,6;0;3;36;1,95215016572993;198,838165617004;0;1,1640625;1
3,7;0;0;37;2,00784983427007;198,838165617004;0;1,1640625;1
3,801;0;2;38;2,0635495028102;184,013948257278;0;1,1640625;1
3,901;0;4;39;2,11924917135034;184,013948257278;0;1,1640625;1
4;0;6;40;2,17494883989048;184,013948257278;0;1,1640625;1
4,1;0;11;41;2,23064850843061;184,013948257278;0;1,1640625;1
4,2;0;11;42;2,28634817697075;184,013948257278;0;1,1640625;1
4,3;0;15;43;2,34204784551088;184,013948257278;0;1,1640625;1
4,401;0;22;44;2,39774751405101;184,013948257278;0;1,1640625;1
4,501;0;20;45;2,45344718259115;184,013948257278;0;1,1640625;1
4,601;0;29;46;2,50914685113129;184,013948257278;0;1,1640625;1
4,701;0;39;47;2,56484651967142;197,72994910009;0;1,1640625;1
4,801;0;26;48;2,62054618821156;197,72994910009;0;1,1640625;1
4,901;0;37;49;2,67624585675169;197,72994910009;0;1,1640625;1
5,001;0;33;50;2,73194552529183;197,72994910009;0;1,1640625;1
5,101;0;29;51;2,78764519383196;197,72994910009;0;1,1640625;1
5,201;0;26;52;2,8433448623721;197,72994910009;0;1,1640625;1
5,301;0;35;53;2,89904453091224;197,72994910009;0;1,1640625;1
5,4;0;36;54;2,95474419945237;197,72994910009;0;1,1640625;1
5,5;0;33;55;3,01044386799251;197,72994910009;0;1,1640625;1
5,601;0;29;56;3,06614353653264;197,72994910009;0;1,1640625;1
5,701;0;26;57;3,12184320507278;221,286610417813;0;1,1640625;1
5,801;0;35;58;3,17754287361291;221,286610417813;0;1,1640625;1
5,901;0;29;59;3,23324254215305;221,286610417813;0;1,1640625;1
6;0;27;60;3,28894221069318;221,286610417813;0;1,1640625;1
6,1;0;26;61;3,34464187923332;221,286610417813;0;1,1640625;1
6,2;0;20;62;3,40034154777346;221,286610417813;0;1,1640625;1
6,299;0;10;63;3,45604121631359;221,286610417813;0;1,1640625;1
6,4;0;24;64;3,51174088485373;221,286610417813;0;1,1640625;1
6,501;0;23;65;3,56744055339386;221,286610417813;0;1,1640625;1
6,6;0;21;66;3,623140221934;221,286610417813;0;1,1640625;1
6,7;0;26;67;3,67883989047413;200,06131879421;0;1,1640625;1
6,8;0;27;68;3,73453955901427;200,06131879421;0;1,1640625;1
6,899;0;24;69;3,7902392275544;200,06131879421;0;1,1640625;1
7;0;18;70;3,84593889609454;200,06131879421;0;1,1640625;1
7,1;0;24;71;3,90163856463468;200,06131879421;0;1,1640625;1
7,2;0;15;72;3,95733823317481;200,06131879421;0;1,1640625;1
7,301;0;23;73;4,01303790171495;200,06131879421;0;1,1640625;1
7,401;0;18;74;4,06873757025508;200,06131879421;0;1,1640625;1
7,501;0;19;75;4,12443723879522;200,06131879421;0;1,1640625;1
7,6;0;20;76;4,18013690733535;211,012732286147;0;1,1640625;1
7,701;0;23;77;4,23583657587549;211,012732286147;0;1,1640625;1
7,8;0;17;78;4,29153624441562;211,012732286147;0;1,1640625;1
7,901;0;30;79;4,34723591295576;211,012732286147;0;1,1640625;1
8,001;0;20;80;4,40293558149589;211,012732286147;0;1,1640625;1
8,1;0;18;81;4,45863525003603;211,012732286147;0;1,1640625;1
8,2;0;23;82;4,51433491857616;211,012732286147;0;1,1640625;1
8,301;0;15;83;4,5700345871163;211,012732286147;0;1,1640625;1
8,4;0;27;84;4,62573425565644;211,012732286147;0;1,1640625;1
8,5;0;20;85;4,68143392419657;211,012732286147;0;1,1640625;1
8,6;0;21;86;4,73713359273671;188,109197389084;0;1,1640625;1
8,699;0;18;87;4,79283326127684;188,109197389084;0;1,1640625;1
8,8;0;24;88;4,84853292981698;188,109197389084;0;1,1640625;1
8,901;0;22;89;4,90423259835711;188,109197389084;0;1,1640625;1
9,001;0;21;90;4,95993226689725;188,109197389084;0;1,1640625;1
9,1;0;25;91;5,01563193543738;188,109197389084;0;1,1640625;1
9,2;0;23;92;5,07133160397752;188,109197389084;0;1,1640625;1
9,3;0;21;93;5,12703127251765;188,109197389084;0;1,1640625;1
9,4;0;21;94;5,18273094105779;188,109197389084;0;1,1640625;1
9,5;0;20;95;5,23843060959793;188,109197389084;0;1,1640625;1
9,6;0;23;96;5,29413027813806;209,141254002954;0;1,1640625;1
9,7;0;27;97;5,3498299466782;209,141254002954;0;1,1640625;1
9,801;0;23;98;5,40552961521833;209,141254002954;0;1,1640625;1
9,901;0;23;99;5,46122928375847;209,141254002954;0;1,1640625;1
10,001;0;28;100;5,5169289522986;209,141254002954;0;1,1640625;1
10,101;0;22;101;5,57262862083874;209,141254002954;0;1,1640625;1
10,2;0;21;102;5,62832828937887;209,141254002954;0;1,1640625;1
10,301;0;17;103;5,68402795791901;209,141254002954;0;1,1640625;1
10,4;0;23;104;5,73972762645914;209,141254002954;0;1,1640625;1
10,5;0;26;105;5,79542729499928;201,90294636304;0;1,1640625;1
10,6;0;18;106;5,85112696353942;201,90294636304;0;1,1640625;1
10,701;0;22;107;5,90682663207955;201,90294636304;0;1,1640625;1
10,801;0;20;108;5,96252630061969;201,90294636304;0;1,1640625;1
10,9;0;30;109;6,01822596915982;201,90294636304;0;1,1640625;1
11;0;30;110;6,07392563769996;201,90294636304;0;1,1640625;1
11,101;0;24;111;6,12962530624009;201,90294636304;0;1,1640625;1
11,2;0;35;112;6,18532497478023;201,90294636304;0;0,776041666666667;1
11,3;0;28;113;6,24102464332037;201,90294636304;0;0,776041666666667;1
11,4;0;45;114;6,2967243118605;201,90294636304;0;0,776041666666667;1
11,501;0;44;115;6,35242398040063;233,098437470144;0;0,776041666666667;1
11,6;0;40;116;6,40812364894077;233,098437470144;0;0,388020833333333;1
11,7;0;44;117;6,46382331748091;233,098437470144;0;0,388020833333333;1
11,8;0;36;118;6,51952298602104;233,098437470144;0;0,776041666666667;1
11,9;0;34;119;6,57522265456118;233,098437470144;0;0,776041666666667;1
12,001;0;33;120;6,63092232310131;233,098437470144;0;0,776041666666667;1
12,1;0;29;121;6,68662199164145;233,098437470144;0;1,1640625;1
12,201;0;39;122;6,74232166018158;233,098437470144;0;1,1640625;1
12,3;0;37;123;6,79802132872172;233,098437470144;0;1,1640625;1
12,4;0;38;124;6,85372099726185;198,779493907409;0;1,1640625;1
12,5;0;41;125;6,90942066580199;198,779493907409;0;1,1640625;1
12,601;0;34;126;6,96512033434213;198,779493907409;0;1,1640625;1
12,7;0;50;127;7,02082000288226;198,779493907409;0;1,1640625;1
12,801;0;40;128;7,07651967142239;198,779493907409;0;1,1640625;1
12,9;0;45;129;7,13221933996253;198,779493907409;0;1,1640625;1
13,001;0;43;130;7,18791900850267;198,779493907409;0;1,1640625;1
13,101;0;50;131;7,2436186770428;198,779493907409;0;1,1640625;1
13,2;0;67;132;7,29931834558294;198,779493907409;0;1,1640625;1
13,301;0;50;133;7,35501801412307;220,8994158376;0;1,1640625;1
13,401;0;51;134;7,41071768266321;220,8994158376;0;1,1640625;1
13,501;0;45;135;7,46641735120334;220,8994158376;0;1,1640625;1
13,6;0;55;136;7,52211701974348;220,8994158376;0;1,1640625;1
13,7;0;35;137;7,57781668828362;220,8994158376;0;1,1640625;1
13,8;0;36;138;7,63351635682375;220,8994158376;0;1,1640625;1
13,9;0;37;139;7,68921602536389;220,8994158376;0;1,1640625;1
14;0;25;140;7,74491569390402;220,8994158376;0;1,1640625;1
14,101;0;27;141;7,80061536244416;220,8994158376;0;1,1640625;1
14,201;0;23;142;7,85631503098429;188,881207719775;0;1,1640625;1
14,3;0;29;143;7,91201469952443;188,881207719775;0;1,1640625;1
14,4;0;22;144;7,96771436806456;188,881207719775;0;1,1640625;1
14,499;0;23;145;8,0234140366047;188,881207719775;0;1,1640625;1
14,6;0;36;146;8,07911370514483;188,881207719775;0;1,1640625;1
14,699;0;36;147;8,13481337368497;188,881207719775;0;1,1640625;1
14,799;0;28;148;8,19051304222511;188,881207719775;0;1,1640625;1
14,899;0;37;149;8,24621271076524;188,881207719775;0;1,1640625;1
15;0;31;150;8,30191237930538;188,881207719775;0;1,1640625;1
15,101;0;28;151;8,35761204784551;188,881207719775;0;1,1640625;1
15,2;0;32;152;8,41331171638565;219,262347398663;0;1,1640625;1
15,3;0;29;153;8,46901138492578;219,262347398663;0;1,1640625;1
15,401;0;32;154;8,52471105346592;219,262347398663;0;1,1640625;1
15,5;0;24;155;8,58041072200605;219,262347398663;0;1,1640625;1
15,6;0;27;156;8,63611039054619;219,262347398663;0;1,1640625;1
15,699;0;31;157;8,69181005908632;219,262347398663;0;1,1640625;1
15,8;0;35;158;8,74750972762646;219,262347398663;0;1,1640625;1
15,901;0;21;159;8,8032093961666;219,262347398663;0;1,1640625;1
16,001;0;27;160;8,85890906470673;219,262347398663;0;1,1640625;1
16,1;0;23;161;8,91460873324687;201,099603744897;0;1,1640625;1
16,2;0;36;162;8,970308401787;201,099603744897;0;1,1640625;1
16,3;0;22;163;9,02600807032714;201,099603744897;0;1,1640625;1
16,4;0;27;164;9,08170773886727;201,099603744897;0;1,1640625;1
16,501;0;21;165;9,13740740740741;201,099603744897;0;1,1640625;1
16,601;0;26;166;9,19310707594754;201,099603744897;0;1,1640625;1
16,7;0;26;167;9,24880674448768;201,099603744897;0;1,1640625;1
16,8;0;47;168;9,30450641302781;201,099603744897;0;1,1640625;1
16,901;0;63;169;9,36020608156795;201,099603744897;0;1,1640625;1
17;0;65;170;9,41590575010808;227,751611648173;0;1,1640625;1
17,1;0;80;171;9,47160541864822;227,751611648173;0;1,1640625;1
17,201;0;125;172;9,52730508718836;227,751611648173;0;1,1640625;1
17,3;0;116;173;9,58300475572849;227,751611648173;0;1,1640625;1
17,4;0;119;174;9,63870442426863;227,751611648173;0;1,1640625;1
17,5;0;146;175;9,69440409280876;227,751611648173;0;1,1640625;1
17,601;0;139;176;9,7501037613489;227,751611648173;0;1,1640625;1
17,7;0;97;177;9,80580342988904;227,751611648173;0;1,1640625;1
17,801;0;100;178;9,86150309842917;227,751611648173;0;1,1640625;1
17,9;0;74;179;9,9172027669693;227,751611648173;0;1,1640625;1
18;0;85;180;9,97290243550944;197,09141099642;0;1,1640625;1
18,099;0;59;181;10,0286021040496;197,09141099642;0;1,1640625;1
18,2;0;37;182;10,0843017725897;197,09141099642;0;1,1640625;1
18,301;0;35;183;10,1400014411298;197,09141099642;0;1,1640625;1
18,4;0;38;184;10,19570110967;197,09141099642;0;1,1640625;1
18,5;0;29;185;10,2514007782101;197,09141099642;0;1,1640625;1
18,601;0;19;186;10,3071004467503;197,09141099642;0;1,1640625;1
18,7;0;20;187;10,3628001152904;197,09141099642;0;1,1640625;1
18,801;0;22;188;10,4184997838305;197,09141099642;0;1,1640625;1
18,901;0;26;189;10,4741994523707;209,648094027059;0;1,1640625;1
19;0;20;190;10,5298991209108;209,648094027059;0;1,1640625;1
19,101;0;23;191;10,5855987894509;209,648094027059;0;1,1640625;1
19,2;0;21;192;10,6412984579911;209,648094027059;0;1,1640625;1
19,3;0;18;193;10,6969981265312;209,648094027059;0;1,1640625;1
19,4;0;23;194;10,7526977950713;209,648094027059;0;1,1640625;1
19,5;0;29;195;10,8083974636115;209,648094027059;0;1,1640625;1
19,601;0;14;196;10,8640971321516;209,648094027059;0;1,1640625;1
19,7;0;35;197;10,9197968006917;209,648094027059;0;1,1640625;1
19,8;0;20;198;10,9754964692319;209,648094027059;0;1,1640625;1
19,9;0;33;199;11,031196137772;201,475946628721;0;1,1640625;1
20;0;34;200;11,0868958063121;201,475946628721;0;1,1640625;1
20,101;0;52;201;11,1425954748523;201,475946628721;0;1,1640625;1
20,2;0;55;202;11,1982951433924;201,475946628721;0;1,1640625;1
