Zeit t / s;Spannung U_B1 / V;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Relais R_1;Spannung U_A / V;Spannungsquelle S_1
0;0;4;0;-0,0530379017149443;;0;3,10416666666667;1
0,1;0;2;1;0,00266176682519159;;0;3,10416666666667;1
0,201;0;0;2;0,0583614353653275;;0;3,10416666666667;1
0,301;0;0;3;0,114061103905463;;0;3,10416666666667;1
0,4;0;0;4;0,169760772445599;;0;3,10416666666667;1
0,5;0;0;5;0,225460440985731;;0;3,10416666666667;1
0,6;0;0;6;0,281160109525867;;0;3,4921875;1
0,701;0;0;7;0,336859778066003;;0;3,10416666666667;1
0,801;0;0;8;0,392559446606139;;0;3,10416666666667;1
0,901;0;0;9;0,448259115146275;37,0191404199146;0;3,10416666666667;1
1;0;0;10;0,503958783686411;37,0191404199146;0;2,71614583333333;1
1,1;0;0;11;0,559658452226547;37,0191404199146;0;2,328125;1
1,2;0;0;12;0,615358120766683;37,0191404199146;0;2,328125;1
1,3;0;0;13;0,671057789306818;37,0191404199146;0;2,328125;1
1,4;0;0;14;0,726757457846954;37,0191404199146;0;2,71614583333333;1
1,5;0;0;15;0,78245712638709;37,0191404199146;0;2,71614583333333;1
1,601;0;0;16;0,838156794927226;37,0191404199146;0;2,328125;1
1,701;0;0;17;0,893856463467362;37,0191404199146;0;1,94010416666667;1
1,801;0;0;18;0,949556132007494;32,218012401935;0;1,94010416666667;1
1,9;0;0;19;1,00525580054763;32,218012401935;0;1,94010416666667;1
2,001;0;0;20;1,06095546908776;32,218012401935;0;1,55208333333333;1
2,1;0;0;21;1,1166551376279;32,218012401935;0;1,1640625;1
2,2;0;0;22;1,17235480616803;32,218012401935;0;1,94010416666667;1
2,3;0;0;23;1,22805447470817;32,218012401935;0;1,94010416666667;1
2,399;0;0;24;1,28375414324831;32,218012401935;0;1,1640625;1
2,5;0;0;25;1,33945381178844;32,218012401935;0;1,1640625;1
2,601;0;0;26;1,39515348032858;32,218012401935;0;1,1640625;1
2,701;0;0;27;1,45085314886871;27,7753057755638;0;1,55208333333333;1
2,801;0;0;28;1,50655281740885;27,7753057755638;0;1,55208333333333;1
2,9;0;0;29;1,56225248594899;27,7753057755638;0;1,94010416666667;1
3,001;0;0;30;1,61795215448912;27,7753057755638;0;1,94010416666667;1
3,101;0;0;31;1,67365182302925;27,7753057755638;0;1,94010416666667;1
3,201;0;0;32;1,72935149156939;27,7753057755638;0;1,55208333333333;1
3,3;0;0;33;1,78505116010953;27,7753057755638;0;1,55208333333333;1
3,4;0;0;34;1,84075082864966;27,7753057755638;0;1,94010416666667;1
3,5;0;0;35;1,8964504971898;27,7753057755638;0;1,94010416666667;1
3,601;0;0;36;1,95215016572993;41,1025024203264;0;1,94010416666667;1
3,701;0;0;37;2,00784983427007;41,1025024203264;0;1,55208333333333;1
3,8;0;0;38;2,0635495028102;41,1025024203264;0;1,55208333333333;1
3,9;0;1;39;2,11924917135034;41,1025024203264;0;1,1640625;1
4;0;1;40;2,17494883989048;41,1025024203264;0;1,1640625;1
4,101;0;0;41;2,23064850843061;41,1025024203264;0;1,1640625;1
4,201;0;2;42;2,28634817697075;41,1025024203264;0;1,1640625;1
4,3;0;4;43;2,34204784551088;41,1025024203264;0;1,1640625;1
4,4;0;4;44;2,39774751405101;41,1025024203264;0;1,1640625;1
4,5;0;6;45;2,45344718259115;41,1025024203264;0;1,1640625;1
4,6;0;4;46;2,50914685113129;33,0459173020913;0;2,328125;1
4,7;0;8;47;2,56484651967142;33,0459173020913;0;3,10416666666667;1
4,8;0;10;48;2,62054618821156;33,0459173020913;0;3,4921875;1
4,901;0;5;49;2,67624585675169;33,0459173020913;0;3,4921875;1
5,001;0;8;50;2,73194552529183;33,0459173020913;0;3,4921875;1
5,101;0;3;51;2,78764519383196;33,0459173020913;0;3,4921875;1
5,201;0;3;52;2,8433448623721;33,0459173020913;0;3,4921875;1
5,3;0;4;53;2,89904453091224;33,0459173020913;0;3,4921875;1
5,4;0;16;54;2,95474419945237;33,0459173020913;0;3,10416666666667;1
5,5;0;7;55;3,01044386799251;33,0459173020913;0;3,4921875;1
5,6;0;10;56;3,06614353653264;33,0023959739477;0;3,4921875;1
5,7;0;9;57;3,12184320507278;33,0023959739477;0;3,4921875;1
5,8;0;14;58;3,17754287361291;33,0023959739477;0;3,4921875;1
5,9;0;10;59;3,23324254215305;33,0023959739477;0;3,4921875;1
6;0;13;60;3,28894221069318;33,0023959739477;0;3,4921875;1
6,1;0;10;61;3,34464187923332;33,0023959739477;0;3,4921875;1
6,2;0;7;62;3,40034154777346;33,0023959739477;0;3,4921875;1
6,301;0;6;63;3,45604121631359;33,0023959739477;0;3,4921875;1
6,401;0;9;64;3,51174088485373;33,0023959739477;0;3,4921875;1
6,501;0;7;65;3,56744055339386;25,5117122607182;0;3,10416666666667;1
6,601;0;13;66;3,623140221934;25,5117122607182;0;2,328125;1
6,701;0;7;67;3,67883989047413;25,5117122607182;0;1,55208333333333;1
6,801;0;15;68;3,73453955901427;25,5117122607182;0;1,55208333333333;1
6,901;0;14;69;3,7902392275544;25,5117122607182;0;1,55208333333333;1
7,001;0;9;70;3,84593889609454;25,5117122607182;0;1,94010416666667;1
7,1;0;7;71;3,90163856463468;25,5117122607182;0;1,55208333333333;1
7,2;0;8;72;3,95733823317481;25,5117122607182;0;1,94010416666667;1
7,3;0;6;73;4,01303790171495;25,5117122607182;0;2,328125;1
7,4;0;3;74;4,06873757025508;25,5117122607182;0;2,328125;1
7,5;0;9;75;4,12443723879522;30,0457687194904;0;2,328125;1
7,6;0;3;76;4,18013690733535;30,0457687194904;0;2,328125;1
7,7;0;6;77;4,23583657587549;30,0457687194904;0;2,71614583333333;1
7,8;0;7;78;4,29153624441562;30,0457687194904;0;2,71614583333333;1
7,9;0;2;79;4,34723591295576;30,0457687194904;0;2,71614583333333;1
8;0;4;80;4,40293558149589;30,0457687194904;0;2,328125;1
8,101;0;9;81;4,45863525003603;30,0457687194904;0;2,71614583333333;1
8,201;0;4;82;4,51433491857616;30,0457687194904;0;1,94010416666667;1
8,301;0;11;83;4,5700345871163;30,0457687194904;0;1,55208333333333;1
8,401;0;2;84;4,62573425565644;33,2760024783967;0;1,55208333333333;1
8,501;0;6;85;4,68143392419657;33,2760024783967;0;1,55208333333333;1
8,6;0;11;86;4,73713359273671;33,2760024783967;0;2,328125;1
8,699;0;7;87;4,79283326127684;33,2760024783967;0;1,55208333333333;1
8,8;0;4;88;4,84853292981698;33,2760024783967;0;1,94010416666667;1
8,9;0;8;89;4,90423259835711;33,2760024783967;0;2,328125;1
9;0;8;90;4,95993226689725;33,2760024783967;0;2,328125;1
9,1;0;11;91;5,01563193543738;33,2760024783967;0;1,94010416666667;1
9,2;0;6;92;5,07133160397752;33,2760024783967;0;2,328125;1
9,3;0;8;93;5,12703127251765;33,2760024783967;0;2,328125;1
9,4;0;7;94;5,18273094105779;44,0737265297389;0;2,328125;1
9,499;0;6;95;5,23843060959793;44,0737265297389;0;2,328125;1
9,6;0;7;96;5,29413027813806;44,0737265297389;0;2,328125;1
9,7;0;7;97;5,3498299466782;44,0737265297389;0;2,328125;1
9,8;0;6;98;5,40552961521833;44,0737265297389;0;2,71614583333333;1
9,9;0;9;99;5,46122928375847;44,0737265297389;0;2,71614583333333;1
10,001;0;6;100;5,5169289522986;44,0737265297389;0;3,10416666666667;1
10,101;0;8;101;5,57262862083874;44,0737265297389;0;3,10416666666667;1
10,201;0;5;102;5,62832828937887;44,0737265297389;0;3,4921875;1
10,301;0;5;103;5,68402795791901;37,705153462747;0;3,4921875;1
10,401;0;5;104;5,73972762645914;37,705153462747;0;3,4921875;1
10,5;0;6;105;5,79542729499928;37,705153462747;0;3,4921875;1
10,599;0;9;106;5,85112696353942;37,705153462747;0;3,4921875;1
10,7;0;10;107;5,90682663207955;37,705153462747;0;2,71614583333333;1
10,8;0;15;108;5,96252630061969;37,705153462747;0;1,94010416666667;1
10,9;0;9;109;6,01822596915982;37,705153462747;0;1,94010416666667;1
11;0;11;110;6,07392563769996;37,705153462747;0;0,776041666666667;1
11,099;0;6;111;6,12962530624009;37,705153462747;0;0,776041666666667;1
11,2;0;10;112;6,18532497478023;37,705153462747;0;0,776041666666667;1
11,3;0;9;113;6,24102464332037;31,0660433014546;0;1,1640625;1
11,4;0;11;114;6,2967243118605;31,0660433014546;0;1,55208333333333;1
11,5;0;10;115;6,35242398040063;31,0660433014546;0;1,55208333333333;1
11,6;0;2;116;6,40812364894077;31,0660433014546;0;1,55208333333333;1
11,7;0;13;117;6,46382331748091;31,0660433014546;0;1,1640625;1
11,8;0;12;118;6,51952298602104;31,0660433014546;0;1,94010416666667;1
11,9;0;10;119;6,57522265456118;31,0660433014546;0;1,94010416666667;1
12;0;7;120;6,63092232310131;31,0660433014546;0;1,94010416666667;1
12,101;0;11;121;6,68662199164145;31,0660433014546;0;1,94010416666667;1
12,2;0;10;122;6,74232166018158;38,8461667379586;0;1,1640625;1
12,3;0;9;123;6,79802132872172;38,8461667379586;0;1,55208333333333;1
12,4;0;10;124;6,85372099726185;38,8461667379586;0;0,776041666666667;1
12,499;0;9;125;6,90942066580199;38,8461667379586;0;0,776041666666667;1
12,599;0;11;126;6,96512033434213;38,8461667379586;0;1,55208333333333;1
12,7;0;7;127;7,02082000288226;38,8461667379586;0;2,328125;1
12,8;0;12;128;7,07651967142239;38,8461667379586;0;2,71614583333333;1
12,9;0;8;129;7,13221933996253;38,8461667379586;0;2,71614583333333;1
13;0;10;130;7,18791900850267;38,8461667379586;0;2,71614583333333;1
13,1;0;17;131;7,2436186770428;38,8461667379586;0;2,71614583333333;1
13,199;0;12;132;7,29931834558294;31,0341126966762;0;2,71614583333333;1
13,3;0;14;133;7,35501801412307;31,0341126966762;0;2,71614583333333;1
13,4;0;11;134;7,41071768266321;31,0341126966762;0;2,328125;1
13,501;0;9;135;7,46641735120334;31,0341126966762;0;2,71614583333333;1
13,6;0;11;136;7,52211701974348;31,0341126966762;0;2,71614583333333;1
13,699;0;11;137;7,57781668828362;31,0341126966762;0;1,94010416666667;1
13,8;0;15;138;7,63351635682375;31,0341126966762;0;1,55208333333333;1
13,901;0;13;139;7,68921602536389;31,0341126966762;0;1,1640625;1
14;0;6;140;7,74491569390402;31,0341126966762;0;1,1640625;1
14,1;0;11;141;7,80061536244416;41,1006395814933;0;1,1640625;1
14,201;0;8;142;7,85631503098429;41,1006395814933;0;1,1640625;1
14,302;0;12;143;7,91201469952443;41,1006395814933;0;1,55208333333333;1
14,4;0;9;144;7,96771436806456;41,1006395814933;0;1,55208333333333;1
14,5;0;15;145;8,0234140366047;41,1006395814933;0;1,1640625;1
14,6;0;7;146;8,07911370514483;41,1006395814933;0;1,1640625;1
