Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0.132421529922214;;0.776041666666667
1;0;1;0.21880702028691;1.09149607765427;0.776041666666667
2;0;2;0.305192510651603;2.21823039339429;0.388020833333333
3;0;3;0.391578001016299;6.00199146076668;1.1640625
4;0;4;0.477963491380995;6.66133168013884;0.388020833333333
5;0;5;0.564348981745691;1.00235744447366;0.776041666666667
6;0;6;0.650734472110384;4.43642781937483;0.776041666666667
7;0;7;0.737119962475081;5.55000801421157;0.388020833333333
8;0;8;0.823505452839776;3.00701988792837;0
9;0;9;0.909890943204472;4.4404914203045;1.1640625
10.001;0;10;0.996276433569166;4.44436345826587;1.1640625
11.001;0;11;1.08266192393386;5.54373876838526;1.1640625
12.001;0;12;1.16904741429856;4.0043771847006;0.388020833333333
13;0;13;1.25543290466325;3.00415023354765;0.776041666666667
14;0;14;1.34181839502795;2.99734405343425;1.1640625
15;0;15;1.42820388539264;7.76507928478739;1.1640625
16;0;16;1.51458937575734;1.00035372507719;1.1640625
17;0;17;1.60097486612203;4.43861752599227;1.1640625
18;0;18;1.68736035648673;2.9983640925511;1.1640625
19.001;0;19;1.77374584685142;3.00075018754689;1.1640625
20;0;20;1.86013133721612;6.00941615417197;1.1640625
20.999;0;21;1.94651682758081;3.33029166694419;1.1640625
22;0;22;2.03290231794551;4.44242708894306;1.1640625
23;0;23;2.11928780831021;1.11049638966519;1.1640625
24;0;24;2.2056732986749;3.00432893756614;1.1640625
25;0;25;2.2920587890396;1.10972137004869;1.1640625
26;1;26;2.37844427940429;6.00824691972201;1.1640625
27;0;27;2.46482976976899;5.54072979390037;1.1640625
28;0;28;2.55121526013368;7.01554504471007;1.1640625
29;3;29;2.63760075049838;3.3277914513031;1.1640625
30.001;3;30;2.72398624086307;8.00590195091822;1.1640625
31;2;31;2.81037173122777;0;1.1640625
32;3;32;2.89675722159246;1.10948472977334;0
33;1;33;2.98314271195716;1.99994360159044;0.776041666666667
34;5;34;3.06952820232185;7.0098046137132;1.1640625
35;2;35;3.15591369268655;3.32864475227505;0.776041666666667
35.999;7;36;3.24229918305124;5.55554197534184;0.776041666666667
37;8;37;3.32868467341594;3.32725960577076;0.776041666666667
38;8;38;3.41507016378063;3.99997920010816;0.776041666666667
39;5;39;3.50145565414533;0;1.1640625
40;7;40;3.58784114451003;5.55449341298181;1.1640625
41;4;41;3.67422663487472;9.99934670934832;1.1640625
41.999;4;42;3.76061212523942;6.64388772848468;1.1640625
43.001;7;43;3.84699761560411;5.023824482845;1.1640625
