Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;4;0;0.132421529922214;
1;2;1;0.21880702028691;63.2541006651932
2.001;1;2;0.305192510651603;59.8891451922492
2.999;0;3;0.391578001016299;77.1289905237519
4;0;4;0.477963491380995;75.4037928551358
5;0;5;0.564348981745691;73.0627901618651
6.001;0;6;0.650734472110384;63.0923988180691
7;0;7;0.737119962475081;72.02990238286
8;0;8;0.823505452839776;85.0281868439388
9;0;9;0.909890943204472;69.9609462451183
10;0;10;0.996276433569166;63.0778001587158
11;0;11;1.08266192393386;90.8402936796817
12;0;12;1.16904741429856;76.1026167684506
13.001;0;13;1.25543290466325;67.9848529747572
13.999;0;14;1.34181839502795;78.8253381495985
15;0;15;1.42820388539264;60.0739029153665
16.001;0;16;1.51458937575734;60.020797206232
17.001;0;17;1.60097486612203;59.9988540218882
18;0;18;1.68736035648673;78.7550053797433
19.001;0;19;1.77374584685142;65.1089207134616
19.999;0;20;1.86013133721612;81.0520151862609
20.999;1;21;1.94651682758081;66.9331538592408
22;0;22;2.03290231794551;73.1138968284794
23.001;2;23;2.11928780831021;69.9388578962303
24;4;24;2.2056732986749;68.1574573579884
25.001;0;25;2.2920587890396;63.2346872212682
26;5;26;2.37844427940429;74.1061496487569
27;7;27;2.46482976976899;49.9991277929929
28;2;28;2.55121526013368;79.8504401256447
29;9;29;2.63760075049838;57.0423082800513
30;11;30;2.72398624086307;66.6622817699103
30.999;10;31;2.81037173122777;61.0717944469971
32;16;32;2.89675722159246;72.0118459486586
33;19;33;2.98314271195716;78.0075589324606
34;13;34;3.06952820232185;66.557815057796
35;10;35;3.15591369268655;85.11125743572
35.999;10;36;3.24229918305124;70.0016450386584
37;7;37;3.32868467341594;74.0158319864619
38;16;38;3.41507016378063;70.0586671278529
39;16;39;3.50145565414533;66.5734564306131
40;17;40;3.58784114451003;59.9818255068714
41.001;17;41;3.67422663487472;67.0565957668272
42;17;42;3.76061212523942;77.7029153356805
