Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0,132421529922214;
1;0;1;0,21880702028691;39,2327084834302
2;0;2;0,305192510651603;48,8509045966259
2,999;0;3;0,391578001016299;38,8722601998034
4,001;0;4;0,477963491380995;36,6663081516536
5;0;5;0,564348981745691;45,0771043870541
6;0;6;0,650734472110384;52,1885895756068
7;0;7;0,737119962475081;40,9904205387201
8;0;8;0,823505452839776;40,0354834489808
9,001;0;9;0,909890943204472;40,9895558611666
9,999;0;10;0,996276433569166;28,8468142077661
11;0;11;1,08266192393386;37,0818210381206
12,001;0;12;1,16904741429856;48,8238717663201
13,001;0;13;1,25543290466325;41,0090178830325
14;0;14;1,34181839502795;49,9096745800489
14,999;0;15;1,42820388539264;38,03697955152
16;0;16;1,51458937575734;37,7111923824279
16,999;0;17;1,60097486612203;42,098886073498
18;0;18;1,68736035648673;41,996148953141
19,001;0;19;1,77374584685142;41,0861535553903
20;0;20;1,86013133721612;36,0366853456819
21,001;0;21;1,94651682758081;43,9613843200133
21,999;0;22;2,03290231794551;49,1026392468176
22,999;0;23;2,11928780831021;37,7387684707685
24;1;24;2,2056732986749;54,434736916361
25,001;1;25;2,2920587890396;39,9439719220507
26;1;26;2,37844427940429;46,0330102716658
27;4;27;2,46482976976899;43,2963053708401
27,999;5;28;2,55121526013368;43,0616556786006
29;6;29;2,63760075049838;38,87884086846
30,001;8;30;2,72398624086307;43,0441503850499
31;8;31;2,81037173122777;52,0105529411918
31,999;11;32;2,89675722159246;44,3737225914609
33;9;33;2,98314271195716;49,9468842634128
33,999;19;34;3,06952820232185;35,0032553027432
35;9;35;3,15591369268655;36,0276980942949
36;13;36;3,24229918305124;45,9933769537187
37;18;37;3,32868467341594;46,6580401134724
38;18;38;3,41507016378063;49,9551901943956
39;17;39;3,50145565414533;44,4183412658939
40;15;40;3,58784114451003;44,3956142016686
41;18;41;3,67422663487472;43,0919927862
42;11;42;3,76061212523942;45,5045096078887
42,999;12;43;3,84699761560411;49,9783427181555
44,001;11;44;3,93338310596881;49,071128600907
44,999;26;45;4,0197685963335;39,9655576823893
46;13;46;4,1061540866982;34,4222764983795
46,999;22;47;4,19253957706289;49,9380823265908
48;18;48;4,27892506742759;39,061314545442
49;14;49;4,36531055779228;55,515103550102
50,001;15;50;4,45169604815698;51,9546124505632
51;18;51;4,53808153852167;41,106898489522
51,999;17;52;4,62446702888637;34,3834558345619
52,999;23;53;4,71085251925106;39,0241637622016
