Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;2;0;0.132421529922214;;0.388020833333333
1;2;1;0.21880702028691;14.1668898859958;1.1640625
2;0;2;0.305192510651603;19.9789865459285;0.388020833333333
3.001;0;3;0.391578001016299;23.0255975568039;1.1640625
4;0;4;0.477963491380995;7.77585454975247;1.1640625
5;0;5;0.564348981745691;18.0275948394207;1.1640625
6;0;6;0.650734472110384;17.0034636055364;1.1640625
6.999;0;7;0.737119962475081;16.6249804517938;1.1640625
8;0;8;0.823505452839776;28.0583670150647;1.1640625
9;0;9;0.909890943204472;17.0041217991241;0.388020833333333
10;0;10;0.996276433569166;15.5096624643236;1.1640625
11;0;11;1.08266192393386;19.0223798298698;1.1640625
12;0;12;1.16904741429856;14.0177562918949;1.1640625
13;0;13;1.25543290466325;25.5372056545591;1.1640625
14;0;14;1.34181839502795;22.2010670720878;1.1640625
15;0;15;1.42820388539264;24.013243303682;1.1640625
16;0;16;1.51458937575734;27.7296329727963;1.1640625
17;0;17;1.60097486612203;14.0121849960726;1.1640625
18;0;18;1.68736035648673;19.9824199110161;1.1640625
19;0;19;1.77374584685142;23.0254039281539;1.1640625
19.999;0;20;1.86013133721612;12.0147047972013;1.1640625
21;0;21;1.94651682758081;13.963507768797;1.1640625
22;1;22;2.03290231794551;25.5469717730398;1.1640625
23;1;23;2.11928780831021;21.0842123415438;1.1640625
24;2;24;2.2056732986749;16.0007296332713;1.1640625
25;1;25;2.2920587890396;19.0264010340749;0.388020833333333
26.001;1;26;2.37844427940429;27.743314416092;0.776041666666667
27;3;27;2.46482976976899;13.3223675445811;1.1640625
28;4;28;2.55121526013368;11.002625226379;1.1640625
29.001;1;29;2.63760075049838;17.7618690637197;1.1640625
30;5;30;2.72398624086307;26.0310889295085;1.1640625
30.999;3;31;2.81037173122777;17.7492803221494;1.1640625
32;5;32;2.89675722159246;25.0458188209511;1.1640625
32.999;5;33;2.98314271195716;17.9849609756322;1.1640625
34;3;34;3.06952820232185;19.0054507632789;1.1640625
35;5;35;3.15591369268655;24.0275355557469;1.1640625
36;3;36;3.24229918305124;17.7472603775996;1.1640625
37;7;37;3.32868467341594;25.0013075683858;1.1640625
38.001;7;38;3.41507016378063;9.99277122929273;1.1640625
39.001;4;39;3.50145565414533;17.0147347603024;1.1640625
40;4;40;3.58784114451003;18.8726227850063;1.1640625
41;3;41;3.67422663487472;19.0089950564607;1.1640625
42.001;2;42;3.76061212523942;15.9995680116637;1.1640625
43.001;7;43;3.84699761560411;24.4206560120825;1.1640625
43.999;8;44;3.93338310596881;13.0229151214477;1.1640625
45.001;5;45;4.0197685963335;20.0165256435713;1.1640625
46;5;46;4.1061540866982;14.4066941036615;1.1640625
47.001;3;47;4.19253957706289;16.64719869264;1.1640625
47.999;2;48;4.27892506742759;30.0734122065374;1.1640625
49;6;49;4.36531055779228;13.3101219595383;1.1640625
49.999;8;50;4.45169604815698;13.3289732780744;1.1640625
51;7;51;4.53808153852167;19.9875233437616;1.1640625
52;4;52;4.62446702888637;13.3328652016218;1.1640625
53.001;5;53;4.71085251925106;19.0457688872129;0.776041666666667
54;7;54;4.79723800961576;14.4168633829192;1.1640625
55;3;55;4.88362349998046;16.6486435850612;1.1640625
56;6;56;4.97000899034515;19.0491697168732;1.1640625
56.999;6;57;5.05639448070985;16.6364179618303;1.1640625
57.999;1;58;5.14277997107454;16.6572571671736;1.1640625
59;4;59;5.22916546143924;15.9996336083904;1.1640625
59.999;6;60;5.31555095180393;13.3233600581431;1.1640625
61.001;8;61;5.40193644216863;16.6173629507917;1.1640625
62.001;8;62;5.48832193253332;15.0053148825314;1.1640625
62.999;5;63;5.57470742289802;27.053810028146;1.1640625
64;5;64;5.66109291326271;16.6227069945359;1.1640625
64.999;3;65;5.74747840362741;18.0317611440792;0.776041666666667
66;3;66;5.8338638939921;20.9792033157531;1.1640625
66.999;3;67;5.9202493843568;14.0134332771395;1.1640625
68;6;68;6.00663487472149;22.200519980579;1.1640625
68.999;7;69;6.09302036508619;14.0239472923965;1.1640625
70.001;7;70;6.17940585545088;24.4016845592019;1.1640625
70.999;8;71;6.26579134581558;17.9792914521055;0.388020833333333
72;6;72;6.35217683618028;18.017175773665;1.1640625
72.999;6;73;6.43856232654497;19.0018849869907;1.1640625
74;6;74;6.52494781690967;15.9866511462928;0.776041666666667
75;8;75;6.61133330727436;18.0428517729608;1.1640625
76;4;76;6.69771879763906;9.98934802522244;0.776041666666667
77.001;7;77;6.78410428800375;18.0174462932458;0.776041666666667
78;4;78;6.87048977836845;16.645510223173;1.1640625
79;3;79;6.95687526873314;21.0222078603837;1.1640625
80.001;6;80;7.04326075909784;15.5357319615726;1.1640625
81;9;81;7.12964624946253;18.8608742037383;1.1640625
82;7;82;7.21603173982723;21.0273018487204;1.1640625
