Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;3;0;0.132421529922214;
1;3;1;0.21880702028691;61.0005307046171
2;1;2;0.305192510651603;47.9655415549469
3;1;3;0.391578001016299;55.0566147169134
4;0;4;0.477963491380995;47.9977201082949
5.001;0;5;0.564348981745691;47.7634805759254
6.001;0;6;0.650734472110384;54.0605153408726
7.001;0;7;0.737119962475081;70.9881989883516
8;0;8;0.823505452839776;60.0019560637677
8.999;0;9;0.909890943204472;66.5725478778669
10.001;0;10;0.996276433569166;69.0531087459365
11.001;1;11;1.08266192393386;49.9971723821397
12;0;12;1.16904741429856;65.4758496212832
13;0;13;1.25543290466325;64.0520679260171
14;0;14;1.34181839502795;48.8208705671066
15.001;1;15;1.42820388539264;47.0704927699723
16.001;0;16;1.51458937575734;68.7614509997028
17;0;17;1.60097486612203;58.0952413386506
18;0;18;1.68736035648673;72.9689662986332
19;0;19;1.77374584685142;57.6714316578008
20;0;20;1.86013133721612;56.036423675389
21;0;21;1.94651682758081;44.43243781236
22;0;22;2.03290231794551;56.6593324308576
23;1;23;2.11928780831021;62.0152681590208
24.001;2;24;2.2056732986749;69.9070081442774
25;3;25;2.2920587890396;59.135076341379
26;4;26;2.37844427940429;66.5464246713328
27;2;27;2.46482976976899;80.9270927821126
28;8;28;2.55121526013368;58.8621327794222
29;5;29;2.63760075049838;72.1117660261639
30;14;30;2.72398624086307;68.8484748341612
31.001;10;31;2.81037173122777;47.9999568000389
32.001;12;32;2.89675722159246;62.1923422568979
32.999;12;33;2.98314271195716;58.6669907741176
34;17;34;3.06952820232185;68.2610164747963
35;3;35;3.15591369268655;53.2782495431113
36;19;36;3.24229918305124;57.7151119917352
36.999;12;37;3.32868467341594;56.9714800770734
38.001;16;38;3.41507016378063;52.1231419208908
39;12;39;3.50145565414533;68.0922241083323
40;19;40;3.58784114451003;73.3319074351332
41;16;41;3.67422663487472;58.7744224359492
42;13;42;3.76061212523942;47.1024006189456
43;21;43;3.84699761560411;55.4603055618811
43.999;20;44;3.93338310596881;47.0310828426507
45;12;45;4.0197685963335;62.9792483376727
46;14;46;4.1061540866982;58.8536551673287
47;13;47;4.19253957706289;48.0564278575904
48;14;48;4.27892506742759;52.2199767632214
48.999;20;49;4.36531055779228;72.1279029677747
50;12;50;4.45169604815698;51.9366736138626
51.001;15;51;4.53808153852167;63.056498622766
51.999;19;52;4.62446702888637;80.9454589497597
53.001;23;53;4.71085251925106;57.715169644307
54.001;24;54;4.79723800961576;57.0558291288025
54.999;20;55;4.88362349998046;55.5051691964073
56;14;56;4.97000899034515;54.0933759856264
57;21;57;5.05639448070985;63.2152823055878
58;12;58;5.14277997107454;66.0147609005374
58.999;23;59;5.22916546143924;64.0146017306548
60;24;60;5.31555095180393;64.8534053625186
61;23;61;5.40193644216863;68.8845032421825
62;25;62;5.48832193253332;59.8897230566118
62.999;29;63;5.57470742289802;53.0520015719408
63.999;26;64;5.66109291326271;64.0107986217275
65;46;65;5.74747840362741;65.5049420703159
66;32;66;5.8338638939921;47.0574383092002
67;23;67;5.9202493843568;68.8798044080186
68;31;68;6.00663487472149;62.1170580429555
69;22;69;6.09302036508619;68.0188888454324
70;28;70;6.17940585545088;57.7618290949666
71;33;71;6.26579134581558;70.0093462477241
72;23;72;6.35217683618028;47.9859497139238
72.999;35;73;6.43856232654497;72.0910485543194
74;34;74;6.52494781690967;50.0519789801709
74.999;39;75;6.61133330727436;58.8057049522503
75.999;74;76;6.69771879763906;69.066324391313
76.999;134;77;6.78410428800375;69.9903335572654
78;280;78;6.87048977836845;58.0052610771797
79;525;79;6.95687526873314;58.8520409721247
80;962;80;7.04326075909784;59.944464783626
81;1284;81;7.12964624946253;47.9899844902369
82;1728;82;7.21603173982723;76.010778328367
83;1843;83;7.30241723019192;62.0082657018181
84;1926;84;7.38880272055662;77.7236475752221
85;1774;85;7.47518821092132;62.0098781735931
86;1372;86;7.56157370128601;67.0186043645716
86.999;1122;87;7.64795919165071;66.8968784618511
88;965;88;7.7343446820154;59.9733318584336
89;717;89;7.8207301723801;75.0876347785501
90;540;90;7.90711566274479;54.0234353662619
