Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;3;0;0,132421529922214;;1,1640625
0,999;4;1;0,21880702028691;69,934868782517;1,1640625
2;1;2;0,305192510651603;50,9653671495192;1,1640625
2,999;0;3;0,391578001016299;64,1591853547838;1,1640625
4;0;4;0,477963491380995;78,754297793959;1,1640625
4,999;0;5;0,564348981745691;73,2521211483535;1,1640625
5,999;0;6;0,650734472110384;55,009527650189;1,1640625
6,999;0;7;0,737119962475081;52,0846531868245;1,1640625
8;0;8;0,823505452839776;65,5137941514392;1,1640625
8,999;0;9;0,909890943204472;78,0900065415398;1,1640625
9,999;0;10;0,996276433569166;57,6401075830439;1,1640625
11;0;11;1,08266192393386;55,0469605620555;1,1640625
12;1;12;1,16904741429856;61,0910189537663;1,1640625
12,999;0;13;1,25543290466325;59,0947939589896;1,1640625
13,999;0;14;1,34181839502795;64,3316496187795;1,1640625
14,999;0;15;1,42820388539264;78,1199453641121;1,1640625
16;0;16;1,51458937575734;67,767861080773;1,1640625
17;0;17;1,60097486612203;57,7192632713236;1,1640625
17,999;0;18;1,68736035648673;70,1065058036169;1,1640625
19;0;19;1,77374584685142;67,6871371803003;1,1640625
20;0;20;1,86013133721612;68,1596503490125;1,1640625
21;0;21;1,94651682758081;75,3360681064645;1,1640625
21,999;0;22;2,03290231794551;66,0809557789248;1,1640625
23;0;23;2,11928780831021;58,0733931542684;1,1640625
24;0;24;2,2056732986749;73,2228969330035;1,1640625
24,999;0;25;2,2920587890396;61,0257467625591;1,1640625
26;4;26;2,37844427940429;72,0448551268019;0
27;3;27;2,46482976976899;59,9142294519712;0,776041666666667
28;4;28;2,55121526013368;74,8494403507345;1,1640625
29;5;29;2,63760075049838;76,2438124634958;1,1640625
29,999;7;30;2,72398624086307;71,0614470553358;1,1640625
30,999;11;31;2,81037173122777;77,7464200550223;0
32;7;32;2,89675722159246;56,6317626236363;1,1640625
32,999;11;33;2,98314271195716;56,0800542774811;1,1640625
33,999;14;34;3,06952820232185;59,9807461804761;1,1640625
35;9;35;3,15591369268655;71,9492470011654;1,1640625
35,999;18;36;3,24229918305124;63,3084953003438;1,1640625
36,999;11;37;3,32868467341594;72,9925474609042;1,1640625
37,999;17;38;3,41507016378063;71,09990959296;1,1640625
38,999;11;39;3,50145565414533;58,8664607673365;1,1640625
40,001;9;40;3,58784114451003;67,7281255364123;1,1640625
41;10;41;3,67422663487472;75,0875596032534;1,1640625
42;17;42;3,76061212523942;62,9835361036625;1,1640625
43;9;43;3,84699761560411;77,9229420026536;1,1640625
43,999;8;44;3,93338310596881;64,053959055108;1,1640625
44,999;14;45;4,0197685963335;78,7911178661856;1,1640625
46;12;46;4,1061540866982;59,9502952102412;0
47;9;47;4,19253957706289;69,0364995973371;1,1640625
48,001;10;48;4,27892506742759;58,0802262164728;0,776041666666667
49;19;49;4,36531055779228;50,9544518155221;1,1640625
50;9;50;4,45169604815698;73,9602315834776;1,1640625
50,999;16;51;4,53808153852167;77,1054108071144;1,1640625
52;12;52;4,62446702888637;57,0205102775468;0
53,001;18;53;4,71085251925106;70,9891911192078;0,776041666666667
54;13;54;4,79723800961576;59,0730379040646;0,776041666666667
55;12;55;4,88362349998046;65,3722952212852;1,1640625
56;14;56;4,97000899034515;73,0306363519496;0,776041666666667
57,001;16;57;5,05639448070985;60,1083091622795;1,1640625
58;18;58;5,14277997107454;72,0162252555501;1,1640625
58,999;15;59;5,22916546143924;59,904552080352;1,1640625
60;15;60;5,31555095180393;67,7724764640633;1,1640625
61,001;13;61;5,40193644216863;58,9606319860229;1,1640625
62;15;62;5,48832193253332;49,1410052003218;1,1640625
62,999;16;63;5,57470742289802;74,4116702376864;1,1640625
64;18;64;5,66109291326271;69,8911375641301;1,1640625
65;16;65;5,74747840362741;74,0519177995693;1,1640625
66;20;66;5,8338638939921;64,0963239556405;1,1640625
67;22;67;5,9202493843568;71,9757945402961;1,1640625
67,999;18;68;6,00663487472149;62,1172440797275;1,1640625
68,999;19;69;6,09302036508619;66,0046731308577;1,1640625
70;28;70;6,17940585545088;66,1492127792662;1,1640625
71;21;71;6,26579134581558;67,7280578579703;1,1640625
72,001;31;72;6,35217683618028;69,893590890846;1,1640625
73;26;73;6,43856232654497;63,0155522382924;1,1640625
74,001;32;74;6,52494781690967;65,0671167309079;1,1640625
74,999;18;75;6,61133330727436;76,4726724904855;1,1640625
76;18;76;6,69771879763906;71,9863297959718;0,776041666666667
76,999;20;77;6,78410428800375;76,0619372354909;0,776041666666667
78,001;28;78;6,87048977836845;54,0644015150848;0,388020833333333
79,001;20;79;6,95687526873314;69,9173995841313;1,1640625
80;22;80;7,04326075909784;65,975028451731;1,1640625
81;28;81;7,12964624946253;64,0993347390451;1,1640625
82;45;82;7,21603173982723;65,5489423955894;1,1640625
83;57;83;7,30241723019192;55,5141296783423;1,1640625
84;124;84;7,38880272055662;76,9849648363675;1,1640625
85;277;85;7,47518821092132;66,6305899039331;1,1640625
86;413;86;7,56157370128601;56,9892347335588;0,388020833333333
86,999;626;87;7,64795919165071;64,0282044240488;1,1640625
88;925;88;7,7343446820154;75,0897773377851;1,1640625
89;1142;89;7,8207301723801;58,7767037536577;1,1640625
90;1266;90;7,90711566274479;64,4003373689398;1,1640625
91,001;1220;91;7,99350115310949;58,8057506254491;1,1640625
92;1233;92;8,07988664347418;73,0800811529274;1,1640625
93;1202;93;8,16627213383888;65,0824985751939;1,1640625
94;1259;94;8,25265762420357;64,2814196219033;1,1640625
95;1257;95;8,33904311456827;68,1031558501662;1,1640625
96,001;1244;96;8,42542860493296;75,5116916528932;1,1640625
97;1189;97;8,51181409529766;70,0945575581459;1,1640625
97,999;1124;98;8,59819958566235;59,8205781459476;1,1640625
99;958;99;8,68458507602705;73,0820492166555;1,1640625
