Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0.132421529922214;;1.1640625
0.999;1;1;0.21880702028691;7.64900758497446;1.1640625
2;1;2;0.305192510651603;9.98331566101585;0.776041666666667
3;0;3;0.391578001016299;12.2064799319367;1.1640625
4;0;4;0.477963491380995;12.0315720482117;1.1640625
5;0;5;0.564348981745691;12.1872664338086;1.1640625
5.999;0;6;0.650734472110384;6.01422846169468;1.1640625
6.999;0;7;0.737119962475081;8.8619819423825;0.776041666666667
8;0;8;0.823505452839776;8.01072395616011;1.1640625
8.999;0;9;0.909890943204472;15.0080022668087;1.1640625
10;0;10;0.996276433569166;19.9881292721156;1.1640625
11;0;11;1.08266192393386;6.6665200032266;1.1640625
12;0;12;1.16904741429856;13.3332488894237;1.1640625
13;0;13;1.25543290466325;11.0031656107462;1.1640625
13.999;0;14;1.34181839502795;9.96926696533852;1.1640625
14.999;0;15;1.42820388539264;8.01978078931685;1.1640625
16;0;16;1.51458937575734;12.1993971501543;1.1640625
17;0;17;1.60097486612203;13.3328533506127;0.388020833333333
18;0;18;1.68736035648673;4.44421433290232;1.1640625
18.999;0;19;1.77374584685142;13.0229177306223;1.1640625
20;0;20;1.86013133721612;6.64591222123444;1.1640625
21;0;21;1.94651682758081;9.01643335142631;1.1640625
22;0;22;2.03290231794551;13.307406070506;1.1640625
23;0;23;2.11928780831021;13.0101518214663;0.776041666666667
23.999;0;24;2.2056732986749;7.01047434972593;0.776041666666667
24.999;1;25;2.2920587890396;9.98377747091837;1.1640625
26;1;26;2.37844427940429;10.0025006251563;0.776041666666667
26.999;0;27;2.46482976976899;12.0138267131642;0.776041666666667
27.999;3;28;2.55121526013368;5.54961992872956;0.388020833333333
29;1;29;2.63760075049838;4.44327931786776;0.776041666666667
29.999;7;30;2.72398624086307;15.0191479116726;1.1640625
30.999;4;31;2.81037173122777;16.6638430710352;1.1640625
31.999;6;32;2.89675722159246;7.76209661769966;1.1640625
32.999;3;33;2.98314271195716;13.0032560153062;1.1640625
33.999;5;34;3.06952820232185;12.9862384830795;1.1640625
34.999;6;35;3.15591369268655;11.0110517926843;1.1640625
35.999;6;36;3.24229918305124;9.99619811265116;1.1640625
36.999;1;37;3.32868467341594;13.0009971764834;1.1640625
38;5;38;3.41507016378063;5.55259972163707;1.1640625
38.999;7;39;3.50145565414533;10.0056021366363;1.1640625
39.999;10;40;3.58784114451003;12.2024055156648;0.776041666666667
41;12;41;3.67422663487472;9.01053150922799;1.1640625
41.999;10;42;3.76061212523942;5.99368205974083;0
42.999;8;43;3.84699761560411;13.0294282666831;1.1640625
43.999;8;44;3.93338310596881;11.0920328146699;0.388020833333333
44.999;10;45;4.0197685963335;8.88746689418582;0.776041666666667
46;14;46;4.1061540866982;12.0044296345351;0
47;16;47;4.19253957706289;8.88417238048512;0.776041666666667
48;14;48;4.27892506742759;11.0001342016373;0.776041666666667
48.999;14;49;4.36531055779228;9.01530889603636;1.1640625
49.999;23;50;4.45169604815698;5.54052595548032;1.1640625
50.999;25;51;4.53808153852167;12.0181028683506;0.776041666666667
52;19;52;4.62446702888637;4.99729895991217;1.1640625
52.999;25;53;4.71085251925106;12.2161548653058;1.1640625
53.999;28;54;4.79723800961576;12.9936188337907;1.1640625
55;20;55;4.88362349998046;12.2159350876305;1.1640625
55.999;32;56;4.97000899034515;11.0094736520776;0.776041666666667
57.001;50;57;5.05639448070985;8.01203166795577;1.1640625
58;67;58;5.14277997107454;7.00042562587805;1.1640625
58.999;106;59;5.22916546143924;9.9936895402603;0.776041666666667
59.999;101;60;5.31555095180393;12.9993721303261;1.1640625
61;95;61;5.40193644216863;9.99677104295313;0.388020833333333
62;121;62;5.48832193253332;14.4434221711197;0.776041666666667
63;134;63;5.57470742289802;9.99336107712443;0.776041666666667
63.999;114;64;5.66109291326271;12.9913555520157;1.1640625
65;147;65;5.74747840362741;7.00081419469084;1.1640625
65.999;162;66;5.8338638939921;8.00659663496755;0.388020833333333
67;218;67;5.9202493843568;6.66121557192364;1.1640625
68;251;68;6.00663487472149;8.01073358192642;1.1640625
68.999;371;69;6.09302036508619;9.0020011448545;1.1640625
70;470;70;6.17940585545088;5.55034193436521;1.1640625
70.999;425;71;6.26579134581558;6.65497830643447;1.1640625
71.999;435;72;6.35217683618028;11.0231276240681;1.1640625
73;394;73;6.43856232654497;6.66409062541269;1.1640625
