Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0,132421529922214;
1,001;1;1;0,21880702028691;4,37112943318581
2;0;2;0,305192510651603;5,55554135806097
3,001;0;3;0,391578001016299;7,77201267148946
4;0;4;0,477963491380995;12,009540378877
5;0;5;0,564348981745691;5,546352308292
6,001;0;6;0,650734472110384;8,00590916155214
7;0;7;0,737119962475081;4,99736089371203
7,999;0;8;0,823505452839776;12,2195108485373
9;0;9;0,909890943204472;14,0013833366737
10;0;10;0,996276433569166;7,00438824923815
11;0;11;1,08266192393386;15,000397510534
12;0;12;1,16904741429856;15,5276316978855
13;0;13;1,25543290466325;11,1105185501218
13,999;0;14;1,34181839502795;11,1105901478842
15;0;15;1,42820388539264;6,00601261923311
16;0;16;1,51458937575734;14,0198605344331
17;0;17;1,60097486612203;14,4335743592215
18;0;18;1,68736035648673;5,00369172375379
18,999;0;19;1,77374584685142;3,33315704636066
20;0;20;1,86013133721612;14,4184527802326
20,999;0;21;1,94651682758081;4,01017421299579
22;0;22;2,03290231794551;6,65362187134224
23,001;0;23;2,11928780831021;10,0107615686863
24;1;24;2,2056732986749;4,43974177129936
25;0;25;2,2920587890396;9,01311588623765
26;0;26;2,37844427940429;11,0942195455075
27;0;27;2,46482976976899;8,88689526205177
28;2;28;2,55121526013368;6,00298047980823
29;2;29;2,63760075049838;12,0140492291686
29,999;5;30;2,72398624086307;12,2133593944217
31;7;31;2,81037173122777;14,437070309754
32;4;32;2,89675722159246;14,9994615193315
33;4;33;2,98314271195716;9,99521007321714
33,999;9;34;3,06952820232185;10,0013191739991
35;6;35;3,15591369268655;7,76457713391932
36;8;36;3,24229918305124;12,005224673778
37,001;4;37;3,32868467341594;7,7748337074139
37,999;9;38;3,41507016378063;6,00952870872055
38,999;8;39;3,50145565414533;11,1016253889732
40;6;40;3,58784114451003;2,22003203728233
41,001;4;41;3,67422663487472;12,0041822570984
42;4;42;3,76061212523942;17,0036387786986
43;4;43;3,84699761560411;11,1042536175993
44;13;44;3,93338310596881;8,8810952344265
45,001;25;45;4,0197685963335;8,0121399945197
46;41;46;4,1061540866982;7,99742163126608
47,001;98;47;4,19253957706289;7,00982005691774
48;150;48;4,27892506742759;11,1089510372983
48,999;217;49;4,36531055779228;16,6391436742357
50;301;50;4,45169604815698;11,0154899820127
51;321;51;4,53808153852167;16,6379864753136
52;315;52;4,62446702888637;8,01439786576585
53;253;53;4,71085251925106;12,1661309513671
54;235;54;4,79723800961576;10,0402715291032
55,001;200;55;4,88362349998046;11,1026385642601
56;160;56;4,97000899034515;14,000705635564
57;90;57;5,05639448070985;9,01886656697145
58;59;58;5,14277997107454;6,66065209782233
59;41;59;5,22916546143924;11,1068362132619
59,999;27;60;5,31555095180393;13,3310655709568
61;11;61;5,40193644216863;10,0132405079236
62;6;62;5,48832193253332;10,001272161819
62,999;2;63;5,57470742289802;14,403827252019
63,999;1;64;5,66109291326271;14,0149778067821
65;2;65;5,74747840362741;4,44095977134386
66;0;66;5,8338638939921;10,0106583479431
67;0;67;5,9202493843568;11,9843221098159
68;1;68;6,00663487472149;9,01536488637585
69;1;69;6,09302036508619;9,00657660223495
70;0;70;6,17940585545088;8,87309281188533
71;0;71;6,26579134581558;6,66303827215868
72;0;72;6,35217683618028;11,0051118744657
73;0;73;6,43856232654497;11,9990604735649
73,999;2;74;6,52494781690967;7,00092342179934
75;1;75;6,61133330727436;4,00134004878234
76;0;76;6,69771879763906;7,77423963493948
77;0;77;6,78410428800375;9,99620588452205
78;0;78;6,87048977836845;6,0007488934619
79;1;79;6,95687526873314;12,0015325957125
80,001;3;80;7,04326075909784;15,5516019927378
81;0;81;7,12964624946253;6,65907827702121
82,001;1;82;7,21603173982723;9,01296876074984
82,999;1;83;7,30241723019192;14,4379265227265
84;1;84;7,38880272055662;9,99904675754245
84,999;0;85;7,47518821092132;6,01037510951404
85,999;0;86;7,56157370128601;7,77010609302859
87;0;87;7,64795919165071;13,310065859315
87,999;1;88;7,7343446820154;4,0033327745348
89;0;89;7,8207301723801;8,01163128630145
90;0;90;7,90711566274479;8,86742282875887
90,999;0;91;7,99350115310949;5,00292621154113
92,001;1;92;8,07988664347418;10,0149372789516
93;0;93;8,16627213383888;6,65772164775948
94;0;94;8,25265762420357;6,00896718172529
95;0;95;8,33904311456827;8,88348575544163
95,999;1;96;8,42542860493296;14,0249602217066
97;1;97;8,51181409529766;13,30922588884
97,999;0;98;8,59819958566235;7,7757992688527
99;1;99;8,68458507602705;10,0009450893109
99,999;0;100;8,77097056639174;5,00801131570173
100,999;0;101;8,85735605675644;8,88850964581067
102;1;102;8,94374154712114;6,65598602775413
102,999;0;103;9,03012703748583;7,00955753169447
104;0;104;9,11651252785053;9,98350835347876
104,999;0;105;9,20289801821522;8,00535958824433
106;1;106;9,28928350857992;11,0921829171953
107;0;107;9,37566899894461;10,0168202445547
108;0;108;9,46205448930931;8,88254379177363
108,999;1;109;9,548439979674;2,99792843145387
110;1;110;9,6348254700387;9,00729861406698
111;0;111;9,72121096040339;13,0149528793631
111,999;0;112;9,80759645076809;7,77347904386652
113;1;113;9,89398194113278;12,2107115914287
114;0;114;9,98036743149748;8,00344708465936
115;1;115;10,0667529218622;6,00186537976003
115,999;0;116;10,1531384122269;7,00854551955199
117;0;117;10,2395239025916;12,204774818576
117,999;0;118;10,3259093929563;7,00278851038484
119;0;119;10,412294883321;4,44178036328877
120;0;120;10,4986803736856;12,2128997087779
121;0;121;10,5850658640503;18,0437814312648
122;0;122;10,671451354415;12,2094145463631
122,999;1;123;10,7578368447797;9,99678303521927
124;0;124;10,8442223351444;6,66578382063176
124,999;0;125;10,9306078255091;12,0047574853915
126;0;126;11,0169933158738;13,3139999261073
127;0;127;11,1033788062385;12,0154783391966
127,999;1;128;11,1897642966032;13,3214934859562
129;0;129;11,2761497869679;12,0117595125628
130,001;1;130;11,3625352773326;11,0096973414183
131;2;131;11,4489207676973;14,4185215447649
132,001;0;132;11,535306258062;11,0141840662405
132,999;2;133;11,6216917484267;7,77536136825033
134;1;134;11,7080772387914;9,00504102196409
135;0;135;11,7944627291561;15,5511165757241
136;0;136;11,8808482195208;7,99359073894551
136,999;0;137;11,9672337098855;9,01563672032774
138;0;138;12,0536192002502;17,7434540516623
138,999;1;139;12,1400046906149;8,00423824415028
140;0;140;12,2263901809796;8,88628125902166
140,999;0;141;12,3127756713443;14,0047209914462
141,999;1;142;12,3991611617089;13,0130755383009
142,999;1;143;12,4855466520736;4,4375248640065
144;1;144;12,5719321424383;7,96385921051675
145;0;145;12,658317632803;9,03268295674238
145,999;0;146;12,7447031231677;6,01426885285339
146,999;0;147;12,8310886135324;9,99343986192175
148;0;148;12,9174741038971;12,2138353885887
148,999;1;149;13,0038595942618;5,55408865902861
149,999;1;150;13,0902450846265;9,99036817503836
151;1;151;13,1766305749912;5,01148682896066
152;1;152;13,2630160653559;3,32900895070637
152,999;1;153;13,3494015557206;14,4242777015202
153,999;1;154;13,4357870460853;12,0145857070484
155;0;155;13,52217253645;11,0917104770744
155,999;1;156;13,6085580268147;6,00528885789715
156,999;0;157;13,6949435171794;12,9916230014886
