Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;4;0;0.132421529922214;
1;4;1;0.21880702028691;71.9659404830768
2;1;2;0.305192510651603;79.0818101325822
3;0;3;0.391578001016299;86.0850089463345
3.999;0;4;0.477963491380995;74.4417149148976
5;0;5;0.564348981745691;84.3500286457137
6;0;6;0.650734472110384;88.9104316311748
6.999;0;7;0.737119962475081;78.1583879732277
8;0;8;0.823505452839776;73.2695318532074
8.999;0;9;0.909890943204472;89.8771578978554
10;0;10;0.996276433569166;72.198871792352
10.999;0;11;1.08266192393386;69.8603336684781
12;0;12;1.16904741429856;76.6661385221568
13;0;13;1.25543290466325;70.9896071215174
13.999;0;14;1.34181839502795;71.0827830090924
14.999;0;15;1.42820388539264;82.11028765342
16;0;16;1.51458937575734;81.1099845835475
17;0;17;1.60097486612203;81.1104622274133
18;0;18;1.68736035648673;65.0010075156165
19;0;19;1.77374584685142;71.0443245540893
20;0;20;1.86013133721612;71.9522956279987
20.999;0;21;1.94651682758081;88.8749157771306
22;0;22;2.03290231794551;76.0884452087106
23;2;23;2.11928780831021;77.6903933497911
23.999;1;24;2.2056732986749;81.0926760427574
25;6;25;2.2920587890396;64.0092493365291
26;6;26;2.37844427940429;83.0686229894516
27;5;27;2.46482976976899;83.3324907492602
28;10;28;2.55121526013368;83.0901694518892
28.999;6;29;2.63760075049838;70.9606430098666
29.999;14;30;2.72398624086307;87.7576910173894
31;10;31;2.81037173122777;73.0140479028165
32;11;32;2.89675722159246;73.3326977832859
33;8;33;2.98314271195716;80.9158556017597
34.001;19;34;3.06952820232185;71.1444730814866
35;18;35;3.15591369268655;80.8352174093111
36;23;36;3.24229918305124;91.1822185455414
37;11;37;3.32868467341594;59.9428624634998
37.999;9;38;3.41507016378063;88.9797571052585
39.001;15;39;3.50145565414533;82.0971291134541
39.999;15;40;3.58784114451003;66.5913518477269
41;25;41;3.67422663487472;86.0711464096222
42;15;42;3.76061212523942;96.9991852068443
42.999;10;43;3.84699761560411;69.9356359030905
44;18;44;3.93338310596881;55.4869798137258
44.999;22;45;4.0197685963335;66.5975679900121
45.999;24;46;4.1061540866982;78.0804306516142
47;17;47;4.19253957706289;73.2513650558359
48;13;48;4.27892506742759;62.9990613139864
48.999;13;49;4.36531055779228;83.000083000083
50;25;50;4.45169604815698;63.295391262682
50.999;29;51;4.53808153852167;73.1038513312011
51.999;22;52;4.62446702888637;88.05239998323
53;16;53;4.71085251925106;69.9110265668559
53.999;22;54;4.79723800961576;86.9693520003551
55;23;55;4.88362349998046;84.0662778534597
56;17;56;4.97000899034515;65.496332316401
56.999;27;57;5.05639448070985;73.262252667745
58;15;58;5.14277997107454;66.0522737694612
