Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;2;0;0.132421529922214;;0.388020833333333
1;0;1;0.21880702028691;28.3738623036106;1.1640625
2;2;2;0.305192510651603;31.0568100041971;1.1640625
3;0;3;0.391578001016299;41.0733529009458;1.1640625
4;0;4;0.477963491380995;25.512722529176;1.1640625
5;0;5;0.564348981745691;23.3301085938788;1.1640625
6.001;0;6;0.650734472110384;29.0398339402158;1.1640625
7;1;7;0.737119962475081;34.3827160083042;1.1640625
8;0;8;0.823505452839776;28.0160167567799;1.1640625
9;0;9;0.909890943204472;35.5415442889847;1.1640625
9.999;2;10;0.996276433569166;30.0228113320501;1.1640625
10.999;0;11;1.08266192393386;33.8458895112882;1.1640625
12;2;12;1.16904741429856;36.1496777406853;1.1640625
13;1;13;1.25543290466325;28.9327516054435;1.1640625
14;1;14;1.34181839502795;22.074430564979;1.1640625
14.999;2;15;1.42820388539264;35.4619242548813;1.1640625
16.001;0;16;1.51458937575734;43.0737983386937;1.1640625
16.999;3;17;1.60097486612203;32.2198200556381;1.1640625
18;1;18;1.68736035648673;33.2936657802043;1.1640625
18.999;0;19;1.77374584685142;38.0056894517109;1.1640625
20;1;20;1.86013133721612;39.93421503643;1.1640625
21;0;21;1.94651682758081;25.9930104794821;1.1640625
22;1;22;2.03290231794551;33.0169707229516;1.1640625
22.999;0;23;2.11928780831021;41.0856015176355;1.1640625
24;0;24;2.2056732986749;37.003507932552;1.1640625
25;2;25;2.2920587890396;24.0197346139588;1.1640625
26;2;26;2.37844427940429;28.9817965335973;1.1640625
26.999;4;27;2.46482976976899;30.0443213829041;1.1640625
28;5;28;2.55121526013368;32.1551858054148;1.1640625
29.002;4;29;2.63760075049838;23.0225413702556;1.1640625
30.001;5;30;2.72398624086307;28.9907316630873;1.1640625
31;3;31;2.81037173122777;41.0829692771563;1.1640625
31.999;6;32;2.89675722159246;24.997667717602;0.776041666666667
32.999;2;33;2.98314271195716;27.0037346164975;1.1640625
33.999;3;34;3.06952820232185;32.996284618352;0.776041666666667
35.001;12;35;3.15591369268655;36.0023041474654;1.1640625
36.001;10;36;3.24229918305124;34.0514687950838;1.1640625
37.002;11;37;3.32868467341594;24.0014664896025;1.1640625
38;8;38;3.41507016378063;36.6158398125802;0.776041666666667
39;9;39;3.50145565414533;26.6335197716708;1.1640625
40;1;40;3.58784114451003;24.019477394219;1.1640625
41;4;41;3.67422663487472;33.9777343906538;1.1640625
42;5;42;3.76061212523942;31.0224230073497;0.388020833333333
42.999;5;43;3.84699761560411;28.8791854825667;0
44;5;44;3.93338310596881;31.0044584411238;1.1640625
45;7;45;4.0197685963335;21.9979497910795;1.1640625
46;10;46;4.1061540866982;38.0268089002747;1.1640625
46.999;6;47;4.19253957706289;30.9908422061281;1.1640625
48;8;48;4.27892506742759;30.0059891954434;1.1640625
48.999;12;49;4.36531055779228;37.997340186187;0.776041666666667
50;20;50;4.45169604815698;29.9948508839316;1.1640625
51;41;51;4.53808153852167;25.5486716079279;1.1640625
52;19;52;4.62446702888637;27.9946670159335;0.388020833333333
52.999;6;53;4.71085251925106;31.1107274121397;0.388020833333333
54;8;54;4.79723800961576;34.4020229277276;1.1640625
55;5;55;4.88362349998046;31.0073022196727;0.388020833333333
56;10;56;4.97000899034515;37.7523033624089;0.776041666666667
57.001;9;57;5.05639448070985;24.0055812976517;1.1640625
57.999;7;58;5.14277997107454;23.9820110934788;1.1640625
58.999;6;59;5.22916546143924;35.0472471939422;0.388020833333333
60;5;60;5.31555095180393;26.9776759731322;1.1640625
61;6;61;5.40193644216863;34.0082572048493;1.1640625
61.999;6;62;5.48832193253332;27.0383539050143;1.1640625
63;9;63;5.57470742289802;29.9545356714143;1.1640625
64;8;64;5.66109291326271;33.9915191159806;1.1640625
65;6;65;5.74747840362741;37.7772405014684;1.1640625
66;6;66;5.8338638939921;21.9999472001267;1.1640625
66.999;8;67;5.9202493843568;32.0482229610896;1.1640625
68;12;68;6.00663487472149;32.1672912112638;1.1640625
69;9;69;6.09302036508619;23.3088098754766;1.1640625
70;8;70;6.17940585545088;43.1045284815678;1.1640625
71.001;6;71;6.26579134581558;31.079968982191;1.1640625
71.999;5;72;6.35217683618028;32.2041127761378;1.1640625
73;9;73;6.43856232654497;34.0470803026425;0.388020833333333
74;8;74;6.52494781690967;38.8540799503734;1.1640625
75;13;75;6.61133330727436;31.1043338223749;0
75.999;6;76;6.69771879763906;25.0344524134113;1.1640625
77;5;77;6.78410428800375;29.9495449998569;0.388020833333333
78;10;78;6.87048977836845;33.3117177298286;1.1640625
78.999;9;79;6.95687526873314;33.0792181115335;1.1640625
80;7;80;7.04326075909784;29.944336805028;0.776041666666667
80.999;7;81;7.12964624946253;29.9291311429126;0.388020833333333
81.999;6;82;7.21603173982723;29.1056739704846;1.1640625
83;14;83;7.30241723019192;28.8638158541836;0.776041666666667
84;9;84;7.38880272055662;21.9663936144093;1.1640625
85;8;85;7.47518821092132;34.0032575120697;1.1640625
86;6;86;7.56157370128601;28.015088926896;1.1640625
86.999;9;87;7.64795919165071;22.0343118303823;1.1640625
88;8;88;7.7343446820154;27.7452233823425;1.1640625
89;5;89;7.8207301723801;24.431636837489;1.1640625
89.999;9;90;7.90711566274479;32.0152808935705;1.1640625
91;13;91;7.99350115310949;35.0377075808986;1.1640625
91.999;8;92;8.07988664347418;29.9400799200533;1.1640625
92.999;10;93;8.16627213383888;33.0237837290417;1.1640625
94;9;94;8.25265762420357;33.2858566065269;1.1640625
