Polarisationsfilter

Messreihe 1 - Laser war noch am aufwärmen - Messreihe 2 Laser sollte schon warm genug sein. 
Eventuell hat das Messgerät einen Drift. 
gewählter Ausgangspunkt: P1 70° zu 1144 lx
deg;lux 1;lux 2
330;1022;1074
340;999;1050
350;911;966
0;781;820
10;617;643
20;444;456
30;279;285
40;132;142
50;37;38
60;0;0
70;24;26
80;108;110
90;236;252
100;397;412
110;578;603
120;756;793
130;896;943
140;1000;1046
150;1047;1097
160;1028;1074
170;950;993
180;816;847
190;653;679
200;471;490
210;288;304
220;150;150
230;38;43
240;0;0
250;25;24
260;114;121
270;257;263
280;421;440
290;607;635
300;747;819
310;927;971
320;1029;1070
330;1067;1109


