Distance_(pixels),Gray_Value
0,43.320
1,44.105
2,44.785
3,44.796
4,45.199
5,44.735
6,45.912
7,46.088
8,46.376
9,45.983
10,45.392
11,41.552
12,40.635
13,41.155
14,42.862
15,43.624
16,44.564
17,43.265
18,43.923
19,43.823
20,46.602
21,47.254
22,47.265
23,46.967
24,48.293
25,48.221
26,47.055
27,46.436
28,46.624
29,46.110
30,47.122
31,48.685
32,50.381
33,50.006
34,50.851
35,50.155
36,49.956
37,49.343
38,47.895
39,49.155
40,50.387
41,50.934
42,51.597
43,49.994
44,49.646
45,49.287
46,46.961
47,46.945
48,44.768
49,42.580
50,41.541
51,41.530
52,40.519
53,40.619
54,41.564
55,40.166
56,39.144
57,39.050
58,36.508
59,34.514
60,35.724
61,38.110
62,40.011
63,40.541
64,40.370
65,39.265
66,38.000
67,36.099
68,37.331
69,38.387
70,38.591
71,38.359
72,39.967
73,39.580
74,39.735
75,39.729
76,39.331
77,39.320
78,40.099
79,39.326
80,38.315
81,37.459
82,35.083
83,35.204
84,36.392
85,36.271
86,35.956
87,33.376
88,34.420
89,33.939
90,35.370
91,35.967
92,35.685
93,36.072
94,35.978
95,37.420
96,36.265
97,35.470
98,35.475
99,36.177
100,38.619
101,40.331
102,40.055
103,40.193
104,40.873
105,39.917
106,37.370
107,37.221
108,38.000
109,37.287
110,37.238
111,36.735
112,37.182
113,37.326
114,38.729
115,39.044
116,40.144
117,40.873
118,41.934
119,42.425
120,44.238
121,44.652
122,44.387
123,46.409
124,48.713
125,49.635
126,51.403
127,52.519
128,53.994
129,53.481
130,53.459
131,50.436
132,48.823
133,49.923
134,51.249
135,51.956
136,52.000
137,52.453
138,50.867
139,50.309
140,49.983
141,49.271
142,45.950
143,43.674
144,45.497
145,46.663
146,47.387
147,48.199
148,47.867
149,49.022
150,45.188
151,46.470
152,47.055
153,45.586
154,44.354
155,41.232
156,40.348
157,38.193
158,36.983
159,35.602
160,35.575
161,37.050
162,38.735
163,39.000
164,40.359
165,39.072
166,37.293
167,33.939
168,32.691
169,33.961
170,34.912
171,33.116
172,33.171
173,34.249
174,34.602
175,34.122
176,35.740
177,38.983
178,38.669
179,37.691
180,38.044
181,37.608
182,39.492
183,39.873
184,40.729
185,42.022
186,42.193
187,44.630
188,44.851
189,44.398
190,46.193
191,46.188
192,48.066
193,47.901
194,49.613
195,51.365
196,51.420
197,49.149
198,47.398
199,46.011
200,47.613
201,48.144
202,47.282
203,47.580
204,47.215
205,47.006
206,47.028
207,46.000
208,45.818
209,44.547
210,44.221
211,41.398
212,40.464
213,39.271
214,37.249
215,38.215
216,38.762
217,38.337
218,38.856
219,37.917
220,38.801
221,39.099
222,38.917
223,36.586
224,36.613
225,35.663
226,34.906
227,34.961
228,32.790
229,32.740
230,32.105
231,32.856
232,32.994
233,33.773
234,32.724
235,31.503
236,31.862
237,33.133
238,33.133
239,34.591
240,35.199
241,35.983
242,35.232
243,33.779
244,34.127
245,34.464
246,34.663
247,36.365
248,32.431
249,28.282
250,30.309
251,31.215
252,29.133
253,29.801
254,29.961
255,30.116
256,33.238
257,32.403
258,33.088
259,31.829
260,32.735
261,34.193
262,36.354
263,34.785
264,35.050
265,37.088
266,39.486
267,39.238
268,38.381
269,39.160
270,38.978
271,37.994
272,36.768
273,38.387
274,37.901
275,36.331
276,35.166
277,35.122
278,36.508
279,35.613
280,35.713
281,37.508
282,37.039
283,37.155
284,38.994
285,38.834
286,36.326
287,34.376
288,32.436
289,30.381
290,30.464
291,29.287
292,28.591
293,29.221
294,27.127
295,27.271
296,26.663
297,26.818
298,24.906
299,25.249
300,25.956
301,27.287
302,26.149
303,24.597
304,22.569
305,21.801
306,22.707
307,23.414
308,23.646
309,24.193
310,23.392
311,22.890
312,22.503
313,23.221
314,23.155
315,24.006
316,23.116
317,23.359
318,24.945
319,23.796
320,25.050
321,25.602
322,25.116
323,25.950
324,25.006
325,23.436
326,23.254
327,23.541
328,24.486
329,26.122
330,26.702
331,26.840
332,26.552
333,24.608
334,26.834
335,28.122
336,29.365
337,30.182
338,30.287
339,30.254
340,33.503
341,33.133
342,32.160
343,33.530
344,33.989
345,34.514
346,34.895
347,35.530
348,34.878
349,36.613
350,37.989
351,37.641
352,38.171
353,37.945
354,37.099
355,35.989
356,35.807
357,37.144
358,38.890
359,40.348
360,38.365
361,37.370
362,36.790
363,38.779
364,38.387
365,35.884
366,31.055
367,30.387
368,28.315
369,25.160
370,26.829
371,29.735
372,29.635
373,28.829
374,29.564
375,30.514
376,32.193
377,34.773
378,34.713
379,33.486
380,35.989
381,37.105
382,38.453
383,37.359
384,37.591
385,37.558
386,38.475
387,37.713
388,37.619
389,38.818
390,38.160
391,39.702
392,38.674
393,40.116
394,39.215
395,37.829
396,38.006
397,35.657
398,33.575
399,31.939
400,29.337
401,28.829
402,28.182
403,27.033
404,26.547
405,24.436
406,23.552
407,22.392
408,20.431
409,20.304
410,20.508
411,20.696
412,20.829
413,21.099
414,21.779
415,21.851
416,23.713
417,24.055
418,23.552
419,26.525
420,26.785
421,26.724
422,29.674
423,30.160
424,33.928
425,37.110
426,40.431
427,43.298
428,43.635
429,45.398
430,46.204
431,47.663
432,50.873
433,51.503
434,53.392
435,53.182
436,54.188
437,53.094
438,52.901
439,52.773
440,51.436
441,51.757
442,53.630
443,54.464
444,55.133
445,55.204
446,55.541
447,55.232
448,55.188
449,55.243
450,53.017
451,52.994
452,54.525
453,53.624
454,53.895
455,52.514
456,51.895
457,51.000
458,50.331
459,49.309
460,47.337
461,45.867
462,46.094
463,45.177
464,44.586
465,42.762
466,41.110
467,38.331
468,33.890
469,32.116
470,29.978
471,28.829
472,28.470
473,28.696
474,28.547
475,28.917
476,31.785
477,31.823
478,32.453
479,34.000
480,33.088
481,31.193
482,29.315
483,29.790
484,34.403
485,36.796
486,37.039
487,40.210
488,42.641
489,44.680
490,47.160
491,46.867
492,48.691
493,51.199
494,54.149
495,55.227
496,56.696
497,58.525
498,58.823
499,59.785
500,61.635
501,62.912
502,61.928
503,62.453
504,63.525
505,63.050
506,62.050
507,62.199
508,63.608
509,62.536
510,62.497
511,62.492
512,61.276
513,59.945
514,58.608
515,58.033
516,58.773
517,58.669
518,58.116
519,59.017
520,57.840
521,57.519
522,54.657
523,50.387
524,49.370
525,46.459
526,44.724
527,41.956
528,38.287
529,33.906
530,29.326
531,25.983
532,26.022
533,27.337
534,24.448
535,22.486
536,22.354
537,23.685
538,23.304
539,23.238
540,24.503
541,24.890
542,28.845
543,30.470
544,33.851
545,36.039
546,35.436
547,36.635
548,38.110
549,38.337
550,39.823
551,44.039
552,47.392
553,48.365
554,48.000
555,46.547
556,46.917
557,48.365
558,50.260
559,50.464
560,50.624
561,51.293
562,52.354
563,52.669
564,53.608
565,53.586
566,55.171
567,54.895
568,53.414
569,54.276
570,56.735
571,56.602
572,57.370
573,57.348
574,56.541
575,54.867
576,53.492
577,53.077
578,55.906
579,57.293
580,55.707
581,56.260
582,55.055
583,51.459
584,50.536
585,50.718
586,49.674
587,45.840
588,43.077
589,39.834
590,39.210
591,39.994
592,38.945
593,38.050
594,37.204
595,39.961
596,40.818
597,40.696
598,41.613
599,41.602
600,38.442
601,37.436
602,36.663
603,33.890
604,31.961
605,34.061
606,34.519
607,34.779
608,35.403
609,35.779
610,37.707
611,38.613
612,40.773
613,39.961
614,40.105
615,40.022
616,39.232
617,38.630
618,38.403
619,37.320
620,35.249
621,35.934
622,35.785
623,35.691
624,36.939
625,38.519
626,38.641
627,39.928
628,38.641
629,38.547
630,38.536
631,39.586
632,38.464
633,36.564
634,35.475
635,36.492
636,38.204
637,38.420
638,37.790
639,36.166
640,38.182
641,37.033
642,36.989
643,36.486
644,35.608
645,35.039
646,34.276
647,36.271
648,38.856
649,39.033
650,38.729
651,39.453
652,41.359
653,42.591
654,46.729
655,46.978
656,46.204
657,44.740
658,44.403
659,44.597
660,46.381
661,43.917
662,42.674
663,42.331
664,41.243
665,44.127
666,45.425
667,43.785
668,43.177
