Distance_(pixels),Gray_Value
0,43.370
1,20.005
2,19.302
3,23.109
4,21.526
5,20.312
6,20.312
7,18.688
8,19.844
9,23.036
10,19.115
11,17.193
12,19.932
13,20.302
14,21.844
15,20.859
16,20.505
17,21.620
18,18.854
19,23.000
20,21.130
21,18.583
22,21.411
23,18.797
24,19.583
25,22.365
26,20.724
27,21.729
28,23.073
29,20.021
30,24.297
31,23.609
32,22.062
33,20.771
34,20.719
35,22.604
36,24.214
37,22.943
38,20.896
39,23.865
40,21.911
41,22.844
42,26.536
43,24.438
44,24.990
45,23.391
46,22.010
47,21.417
48,21.016
49,22.146
50,24.958
51,21.167
52,22.411
53,22.250
54,21.328
55,21.302
56,22.672
57,21.307
58,20.120
59,21.526
60,20.401
61,21.005
62,20.469
63,22.630
64,21.229
65,21.693
66,23.693
67,23.177
68,19.849
69,22.297
70,24.297
71,21.156
72,20.526
73,20.354
74,19.708
75,21.453
76,19.000
77,20.286
78,20.568
79,21.802
80,20.943
81,20.724
82,21.812
83,19.083
84,19.016
85,17.562
86,19.911
87,19.130
88,21.115
89,18.927
90,16.844
91,17.312
92,20.307
93,17.365
94,19.573
95,20.349
96,19.859
97,20.417
98,21.198
99,20.844
100,19.719
101,20.438
102,20.578
103,17.771
104,19.505
105,23.167
106,24.510
107,23.500
108,20.979
109,25.510
110,23.578
111,22.542
112,20.698
113,17.911
114,17.771
115,18.693
116,20.250
117,21.792
118,21.849
119,20.422
120,21.062
121,18.672
122,23.312
123,21.021
124,17.760
125,16.125
126,20.078
127,20.260
128,20.771
129,20.016
130,18.422
131,19.547
132,19.005
133,18.302
134,18.026
135,18.021
136,21.786
137,23.125
138,20.630
139,21.469
140,22.807
141,21.495
142,18.870
143,19.141
144,20.849
145,20.234
146,17.641
147,18.349
148,18.307
149,19.417
150,17.594
151,20.427
152,19.016
153,20.854
154,19.099
155,21.766
156,22.042
157,22.651
158,22.203
159,20.922
160,21.167
161,19.271
162,20.354
163,21.255
164,20.979
165,21.188
166,23.578
167,22.948
168,18.500
169,18.521
170,19.474
171,20.432
172,19.385
173,19.979
174,19.047
175,20.125
176,18.557
177,18.599
178,17.125
179,16.552
180,18.917
181,19.771
182,24.635
183,20.417
184,20.130
185,22.203
186,22.927
187,24.609
188,19.823
189,22.917
190,21.932
191,22.578
192,26.995
193,24.688
194,22.302
195,20.604
196,18.630
197,19.297
198,19.922
199,21.281
200,20.927
201,22.542
202,22.250
203,22.552
204,23.844
205,18.656
206,18.375
207,21.240
208,20.646
209,21.510
210,21.984
211,20.547
212,20.312
213,22.307
214,20.182
215,21.130
216,21.568
217,20.786
218,21.641
219,22.677
220,19.432
221,20.766
222,21.359
223,20.271
224,20.490
225,22.089
226,21.641
227,22.651
228,21.615
229,24.609
230,23.089
231,20.297
232,20.719
233,21.635
234,17.818
235,20.042
236,19.682
237,21.516
238,18.766
239,20.214
240,17.255
241,17.844
242,19.745
243,21.870
244,20.312
245,21.844
246,19.885
247,19.958
248,19.078
249,19.130
250,19.167
251,21.495
252,20.510
253,22.776
254,21.958
255,20.208
256,21.010
257,21.453
258,21.146
259,18.604
260,23.083
261,21.339
262,19.958
263,18.969
264,20.469
265,19.786
266,18.062
267,19.995
268,19.016
269,20.208
270,20.469
271,18.547
272,19.688
273,18.281
274,17.005
275,17.161
276,18.193
277,17.615
278,20.047
279,19.120
280,19.156
281,19.885
282,18.255
283,20.635
284,18.479
285,20.208
286,20.234
287,20.073
288,19.396
289,19.047
290,19.042
291,21.115
292,22.198
293,21.411
294,23.224
295,18.938
296,19.750
297,19.797
298,19.083
299,22.354
300,21.292
301,19.771
302,20.260
303,20.677
304,20.411
305,21.880
306,23.151
307,25.281
308,22.854
309,23.490
310,23.391
311,21.578
312,24.297
313,27.255
314,24.714
315,23.526
316,22.484
317,22.807
318,23.292
319,23.391
320,24.740
321,23.432
322,26.109
323,22.922
324,20.750
325,23.042
326,20.542
327,22.234
328,20.635
329,20.104
330,21.385
331,22.292
332,20.828
333,21.708
334,21.401
335,20.812
336,19.568
337,20.167
338,20.651
339,22.453
340,20.854
341,18.448
342,17.464
343,17.823
344,16.740
345,18.349
346,20.495
347,21.109
348,19.302
349,22.094
350,19.380
351,19.604
352,19.250
353,19.094
354,18.609
