Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1]
1,0,-1,-0.0181989669799805
2,0.12050296,-0.98,-0.0182002782821655
3,0.24094136,-0.96,-0.0182024091482162
4,0.36138634,-0.94,-0.0181993544101715
5,0.48184,-0.92,-0.0182010233402252
6,0.60227644,-0.9,-0.0181960612535477
7,0.7227179,-0.88,-0.0181955099105835
8,0.8431539,-0.86,-0.0182017236948013
9,0.96361726,-0.84,-0.0181934237480164
10,1.08405676,-0.82,-0.0181932300329208
11,1.20451314,-0.8,-0.0181962251663208
12,1.32495498,-0.78,-0.0181916803121567
13,1.44539792,-0.76,-0.018192857503891
14,1.56584494,-0.74,-0.0181915163993835
15,1.6862875,-0.72,-0.0181898027658463
16,1.8067214,-0.7,-0.0181984305381775
17,1.92715238,-0.68,-0.0181864798069
18,2.0476074,-0.66,-0.0181927680969238
19,2.16804348,-0.64,-0.0181882679462433
20,2.28848948,-0.62,-0.018186941742897
21,2.40891552,-0.6,-0.0181850492954254
22,2.52937746,-0.58,-0.018190860748291
23,2.6498293,-0.56,-0.0181889832019806
24,2.7702885,-0.54,-0.0181878060102463
25,2.89073416,-0.52,-0.0181866884231567
26,3.0111748,-0.5,-0.0181920677423477
27,3.13163348,-0.48,-0.0181840062141418
28,3.2520697,-0.46,-0.0181908905506134
29,3.37252812,-0.44,-0.0181888937950134
30,3.49295854,-0.42,-0.0181824266910553
31,3.61340566,-0.4,-0.0181887149810791
32,3.73384264,-0.38,-0.0181840658187866
33,3.85429252,-0.36,-0.0181824266910553
34,3.9747244,-0.34,-0.0181910991668701
35,4.09518498,-0.32,-0.0181877315044403
36,4.2156132,-0.3,-0.0181783437728882
37,4.33605078,-0.28,-0.0181823968887329
38,4.45649002,-0.26,-0.0181795060634613
39,4.57694042,-0.24,-0.0181829333305359
40,4.69739316,-0.22,-0.0181799232959747
41,4.8178323,-0.2,-0.0181797742843628
42,4.9382833,-0.18,-0.0181803852319717
43,5.05873288,-0.16,-0.0181773602962494
44,5.1791906,-0.14,-0.0181788057088852
45,5.29962616,-0.12,-0.0181796699762344
46,5.42007988,-0.1,-0.018176943063736
47,5.54051846,-0.08,-0.0181808620691299
48,5.66098358,-0.06,-0.018175482749939
49,5.781435,-0.04,-0.0181815475225449
50,5.90189558,-0.02,-0.0181759595870972
51,6.0223365,0,-0.0181748121976852
52,6.14308592,0.02,-0.0181752741336823
53,6.26352778,0.04,-0.0181687921285629
54,6.38395846,0.06,-0.0181732326745987
55,6.50441936,0.08,-0.0181730985641479
56,6.62485596,0.1,-0.0181698352098465
57,6.74531524,0.12,-0.0181684643030167
58,6.86574856,0.14,-0.0181718915700912
59,6.98618902,0.16,-0.0181680023670197
60,7.10663542,0.18,-0.018161728978157
61,7.22706008,0.2,-0.0181571245193481
62,7.34750672,0.22,-0.0181543081998825
63,7.46793818,0.24,-0.0181407183408737
64,7.58838664,0.26,-0.0181322991847992
65,7.70882272,0.28,-0.0181188732385635
66,7.82927086,0.3,-0.0180902779102325
67,7.94969432,0.32,-0.0180514752864838
68,8.07016244,0.34,-0.0180142223834991
69,8.19060698,0.36,-0.0179368704557419
70,8.31103342,0.38,-0.0178200453519821
71,8.4314849,0.4,-0.0176512897014618
72,8.55194104,0.42,-0.0173890441656113
73,8.67240074,0.44,-0.0169229954481125
74,8.79282886,0.46,-0.0162227749824524
75,8.91327374,0.48,-0.0149032026529312
76,9.03371562,0.5,-0.0125635713338852
77,9.24546668,0.52,-0.00837738439440727
78,9.36594218,0.54,-0.00107968598604202
79,9.59473708,0.56,0.0112468600273132
80,9.7152273,0.58,0.0308654010295868
81,9.8356663,0.6,0.0600080564618111
82,9.95612778,0.62,0.1003048568964
83,10.1277076,0.64,0.152753829956055
84,10.24817966,0.66,0.217802047729492
85,10.36863832,0.68,0.295711517333984
86,10.4890913,0.7,0.386693954467773
87,10.60954244,0.72,0.49018669128418
88,10.72999056,0.74,0.605888366699219
89,10.85044238,0.76,0.733247756958008
90,10.97090952,0.78,0.871755599975586
91,11.09136898,0.8,0.999855041503906
92,11.21182488,0.82,0.999855041503906
93,11.33229934,0.84,0.999853134155273
94,11.4527408,0.86,0.999858856201172
95,11.57320108,0.88,0.999849319458008
96,11.69363852,0.9,0.999845504760742
97,11.81409826,0.92,0.999851226806641
98,11.93454178,0.94,0.999851226806641
99,12.05501202,0.96,0.999851226806641
100,12.17546018,0.98,0.999849319458008
101,12.2959213,1,0.999849319458008
