Zeit t / s;Temperatur T_1 / °C;Temperatur T_2 / °C
0;17,6;18,4
1;17,6;18,5
2;17,6;18,5
3;17,6;18,5
4;17,7;18,5
5;17,7;18,5
6;17,7;18,5
7;17,7;18,5
8;17,7;18,5
9;17,7;18,5
10;17,7;18,6
11;17,7;18,7
12;17,7;18,7
13;17,7;18,7
14;17,7;18,7
15;17,7;18,8
16;17,7;18,8
17;17,7;18,9
18;17,7;19
19,001;17,7;19
20;17,7;19,2
21;17,8;19,2
22;17,8;19,2
23,001;17,8;19,3
24;17,8;19,3
25;17,8;19,3
26;17,8;19,3
27;17,8;19,4
28;17,8;19,4
29;17,8;19,4
30;17,8;19,5
31,002;17,8;19,5
32,001;17,8;19,5
33,001;17,8;19,5
34,001;17,8;19,5
35,001;17,8;19,5
36,001;17,8;19,5
37,001;17,8;19,5
38,001;17,8;19,5
39,001;17,8;19,6
40,001;17,8;19,6
41;17,8;19,6
42,001;17,8;19,6
42,999;17,8;19,6
44;17,8;19,6
45,001;17,9;19,6
46;17,9;19,7
47,001;17,9;19,7
48;17,9;19,7
49;17,9;19,7
50;17,9;19,7
51;17,9;19,7
52;17,8;19,8
53;17,8;19,8
54;17,6;19,8
55;17,6;19,8
56,008;17,7;19,8
57;17,7;19,8
58;17,7;19,8
59;17,7;19,9
60;17,7;20
61;17,7;20
62,001;17,7;20
63,001;17,5;20
64,001;17,6;20
65;17,6;20
66;17,7;20
67,001;17,7;20
68;17,7;20,1
69;17,7;20,1
70,001;17,7;20,1
71;17,7;20,2
72;17,7;20,2
73;17,7;20,2
74;17,7;20,2
75;17,7;20,2
76,001;17,7;20,2
77;17,7;20,2
78;17,7;20,2
79,004;17,7;20,2
80;17,7;20,2
81;17,7;20,3
82,001;17,6;20,3
83;17,6;20,3
84;17,6;20,3
85;17,6;20,3
86,001;17,6;20,3
87,001;17,6;20,3
88;17,5;20,4
89;17,5;20,4
90,001;17,5;20,4
91;17,5;20,5
92;17,5;20,5
93;17,5;20,5
94;17,5;20,5
95,001;17,5;20,5
96;17,5;20,5
97;17,5;20,5
98;17,4;20,5
99,001;17,3;20,5
100;17,3;20,5
101;17,3;20,5
102;17,3;20,5
103;17,3;20,6
104,001;17,3;20,6
105;17,3;20,6
106;17,3;20,7
107;17,3;20,7
108;17,3;20,7
109;17,2;20,7
110;17,2;20,7
111;17,2;20,8
112;17,2;20,8
113;17,2;20,8
114,001;17,2;20,8
115;17,2;20,8
116;17,2;20,9
117;17,2;20,9
118;17,2;20,9
119;17,2;20,9
120,001;17,2;21
121;17,1;21
122;17,1;21
123;17,1;21
124,001;17,1;21
125;17,1;21
126;17,1;21
127;17;21,1
128;17;21,1
129;17;21,1
130;17;21,1
131;17;21,1
132;17;21,2
133,001;17;21,2
134;17;21,2
135;16,9;21,2
136;16,9;21,2
137;16,9;21,3
138;16,9;21,3
139,001;16,9;21,3
140,001;16,9;21,3
141;16,9;21,3
142;16,9;21,4
143;16,8;21,4
144;16,8;21,4
145;16,8;21,4
146,001;16,8;21,4
147,001;16,8;21,4
148,001;16,8;21,4
149;16,8;21,5
150,001;16,7;21,5
151;16,7;21,5
152,001;16,7;21,5
153,001;16,7;21,5
154,001;16,7;21,6
155,001;16,7;21,6
156;16,7;21,6
157;16,7;21,6
158,001;16,7;21,6
159;16,7;21,6
160;16,7;21,7
161;16,6;21,7
162;16,6;21,7
163,001;16,6;21,7
164;16,6;21,7
165;16,6;21,8
166,001;16,6;21,8
167;16,6;21,8
168;16,5;21,8
169;16,5;21,8
170,001;16,5;21,8
171;16,5;21,8
172;16,5;21,8
173;16,5;21,8
174,001;16,4;21,9
175;16,3;21,9
176,001;16,3;21,9
177;16,3;21,9
178,001;16,3;22
179,001;16,3;22
180;16,3;22
181,001;16,3;22
182;16,2;22
183;16,2;22
184,001;16,2;22,1
185;16,2;22,1
186,001;16,2;22,1
187,001;16,2;22,1
188,001;16,2;22,1
189,001;16,2;22,1
190;16,2;22,1
191;16,2;22,1
192;16,2;22,1
193;16,2;22,2
194,002;16,2;22,2
195;16,2;22,2
196;16,2;22,2
197,001;16,2;22,2
198,001;16,1;22,3
199;16,1;22,3
200;16,1;22,3
201;16,1;22,3
202;16,1;22,4
203,001;16,1;22,4
204,001;16,1;22,4
205;16;22,4
206,001;16;22,4
207;16;22,4
208;16;22,4
209;16;22,4
210,001;16;22,4
211;16;22,4
212,001;15,9;22,5
213,001;15,9;22,5
214;15,9;22,5
215;15,9;22,5
216,001;15,9;22,6
217;15,9;22,6
218,001;15,9;22,6
219;15,9;22,6
220,001;15,8;22,6
221,001;15,8;22,6
222;15,8;22,6
223;15,8;22,7
224;15,8;22,7
225,001;15,8;22,7
226,001;15,8;22,7
227;15,8;22,7
228,001;15,7;22,7
229,001;15,7;22,7
230,001;15,7;22,8
231;15,7;22,9
232;15,7;22,9
233,001;15,7;22,9
234;15,7;22,9
235,001;15,6;22,9
236;15,6;22,9
237;15,6;22,9
238,001;15,6;22,9
239;15,6;23
240,001;15,6;23
241,001;15,6;23
242,001;15,6;23,1
243;15,6;23,1
244,001;15,5;23,1
245,001;15,5;23,1
246;15,5;23,1
247,001;15,5;23,1
248,001;15,4;23,1
249;15,4;23,1
250,001;15,4;23,2
251;15,4;23,2
252,001;15,4;23,2
253;15,4;23,2
254;15,4;23,2
255;15,4;23,2
256,001;15,4;23,2
257;15,3;23,2
258;15,3;23,2
259,001;15,3;23,3
260;15,3;23,3
261,001;15,3;23,3
262;15,3;23,3
263;15,3;23,3
264,001;15,3;23,4
265;15,3;23,4
266;15,2;23,4
267,001;15,2;23,4
268;15,2;23,4
269,001;15,1;23,5
270,001;15,1;23,5
271,001;15,1;23,5
272,001;15,1;23,5
273;15,1;23,5
274;15,1;23,5
275,001;15,1;23,5
276,001;15,1;23,6
277;15,1;23,6
278;15;23,6
279;15;23,6
280;15;23,7
281;15;23,7
282;14,9;23,7
283;14,9;23,7
284;14,9;23,7
285,001;14,9;23,7
286;14,9;23,7
286,999;14,9;23,7
288;14,9;23,8
289;14,9;23,8
290;14,9;23,8
291,001;14,9;23,8
292;14,9;23,8
293;14,9;23,9
294;14,9;23,9
295;14,8;23,9
296;14,8;23,9
297;14,8;23,9
298,001;14,8;23,9
299;14,7;23,9
300,001;14,7;24
301;14,7;24
302;14,7;24
303;14,7;24
304;14,7;24
305,001;14,7;24,1
306,001;14,7;24,1
307,001;14,7;24,1
308,001;14,7;24,1
309,001;14,7;24,1
310;14,7;24,1
311;14,6;24,1
312;14,6;24,1
313;14,6;24,1
314;14,5;24,2
315;14,4;24,3
316;14,4;24,3
317,001;14,4;24,3
318;14,4;24,2
319;14,4;24,3
320;14,4;24,3
321;14,4;24,3
322;14,4;24,3
323,001;14,4;24,4
324,001;14,4;24,4
325;14,4;24,4
326;14,4;24,4
327,007;14,4;24,4
327,999;14,4;24,4
329;14,4;24,4
330,002;14,4;24,4
331;14,3;24,4
332,001;14,3;24,4
333;14,3;24,5
334;14,3;24,5
335,001;14,3;24,5
336;14,3;24,5
337;14,2;24,5
338;14,2;24,5
339;14,2;24,5
340,002;14,2;24,5
341,001;14,2;24,5
342,001;14,2;24,6
343;14,2;24,6
344;14,2;24,7
345;14,2;24,7
346;14,1;24,7
347;14,1;24,7
348;14,1;24,8
349,001;14,1;24,8
350,001;14,1;24,8
351;14,1;24,8
352;14,1;24,8
353;14,1;24,8
354,003;14,1;24,8
355;14,1;24,8
356,001;14;24,8
357,001;14;24,8
358;14;24,8
359,001;14;24,9
360;14;24,9
361,001;14;24,9
362,001;14;24,9
363,001;14;24,9
364,001;14;24,9
365,001;14;25
366,001;14;25
367;13,9;25
368,001;13,9;25
369,001;13,9;25
370,001;13,8;25
371,001;13,8;25,1
372;13,8;25,1
373;13,8;25,1
374;13,8;25,1
375;13,8;25,1
376;13,8;25,1
377;13,8;25,1
378,001;13,8;25,1
379;13,8;25,2
380;13,8;25,2
381;13,7;25,2
382;13,7;25,3
383;13,7;25,3
384,001;13,7;25,3
385;13,7;25,3
386;13,7;25,3
387;13,7;25,3
