wert,wert,wert,wert
s,t,U,I
1,0,-1,-1.74184E-05
2,0.12049806,-0.998,-1.75113E-05
3,0.24093392,-0.996,-1.75677E-05
4,0.36136742,-0.994,-1.74264E-05
5,0.48181654,-0.992,-1.73075E-05
6,0.60226386,-0.99,-1.71744E-05
7,0.722699,-0.988,-1.71023E-05
8,0.84314284,-0.986,-1.69188E-05
9,0.9635997,-0.984,-1.6834E-05
10,1.08403838,-0.982,-1.67634E-05
11,1.20447932,-0.98,-1.66502E-05
12,1.32491852,-0.978,-1.64651E-05
13,1.44536652,-0.976,-1.64465E-05
14,1.56581948,-0.974,-1.63211E-05
15,1.68625918,-0.972,-1.62627E-05
16,1.80670886,-0.97,-1.62183E-05
17,1.92715982,-0.968,-1.61642E-05
18,2.04760988,-0.966,-1.59746E-05
19,2.16804118,-0.964,-1.58841E-05
20,2.28848144,-0.962,-1.58186E-05
21,2.408927,-0.96,-1.57575E-05
22,2.52937856,-0.958,-1.56901E-05
23,2.649819,-0.956,-1.56446E-05
24,2.77024892,-0.954,-1.56383E-05
25,2.89070162,-0.952,-1.55769E-05
26,3.01114162,-0.95,-1.54951E-05
27,3.1315976,-0.948,-1.53737E-05
28,3.25202584,-0.946,-1.53608E-05
29,3.37248234,-0.944,-1.52691E-05
30,3.49293648,-0.942,-1.51212E-05
31,3.61338732,-0.94,-1.50739E-05
32,3.73381822,-0.938,-1.50129E-05
33,3.85427836,-0.936,-1.49361E-05
34,3.9747045,-0.934,-1.48463E-05
35,4.09514364,-0.932,-1.48233E-05
36,4.2155985,-0.93,-1.47399E-05
37,4.33604668,-0.928,-1.46732E-05
38,4.45649678,-0.926,-1.46238E-05
39,4.57693138,-0.924,-1.45319E-05
40,4.69740118,-0.922,-1.44539E-05
41,4.8178256,-0.92,-1.44333E-05
42,4.93827956,-0.918,-1.4376E-05
43,5.05871932,-0.916,-1.43406E-05
44,5.179178,-0.914,-1.42439E-05
45,5.2996306,-0.912,-1.42429E-05
46,5.42008926,-0.91,-1.41699E-05
47,5.54052734,-0.908,-1.40891E-05
48,5.66096742,-0.906,-1.40525E-05
49,5.78142848,-0.904,-1.3962E-05
50,5.90186556,-0.902,-1.38993E-05
51,6.02233154,-0.9,-1.38537E-05
52,6.14276438,-0.898,-1.37829E-05
53,6.26321764,-0.896,-1.37123E-05
54,6.38367068,-0.894,-1.36542E-05
55,6.5041161,-0.892,-1.36148E-05
56,6.62454596,-0.89,-1.36062E-05
57,6.74499206,-0.888,-1.35628E-05
58,6.86542862,-0.886,-1.34265E-05
59,6.98587416,-0.884,-1.33881E-05
60,7.10631882,-0.882,-1.33308E-05
61,7.22675068,-0.88,-1.32749E-05
62,7.34721768,-0.878,-1.32183E-05
63,7.46766792,-0.876,-1.31597E-05
64,7.5881189,-0.874,-1.31041E-05
65,7.70854648,-0.872,-1.30084E-05
66,7.82900692,-0.87,-1.29681E-05
67,7.94946542,-0.868,-1.29442E-05
68,8.06991528,-0.866,-1.29164E-05
69,8.19035076,-0.864,-1.28806E-05
70,8.31079888,-0.862,-1.28037E-05
71,8.43122994,-0.86,-1.27399E-05
72,8.5516828,-0.858,-1.27002E-05
73,8.67210976,-0.856,-1.26713E-05
74,8.7925477,-0.854,-1.26092E-05
75,8.9129973,-0.852,-1.25411E-05
76,9.03343326,-0.85,-1.24875E-05
77,9.15388278,-0.848,-1.2471E-05
78,9.27431024,-0.846,-1.24204E-05
79,9.39477588,-0.844,-1.23616E-05
80,9.51520522,-0.842,-1.22912E-05
81,9.6356537,-0.84,-1.2252E-05
82,9.75608448,-0.838,-1.21797E-05
83,9.87652606,-0.836,-1.2138E-05
84,9.996962,-0.834,-1.20993E-05
85,10.11740822,-0.832,-1.20708E-05
86,10.2378518,-0.83,-1.20133E-05
87,10.35828948,-0.828,-1.19657E-05
88,10.47873392,-0.826,-1.19148E-05
89,10.59916866,-0.824,-1.18392E-05
90,10.71962082,-0.822,-1.18066E-05
91,10.84003858,-0.82,-1.1784E-05
92,10.96049104,-0.818,-1.1734E-05
93,11.08092612,-0.816,-1.16803E-05
94,11.20136804,-0.814,-1.16388E-05
95,11.32179562,-0.812,-1.16034E-05
96,11.4422449,-0.81,-1.15854E-05
97,11.56269678,-0.808,-1.15326E-05
98,11.68314316,-0.806,-1.14828E-05
99,11.80359026,-0.804,-1.14627E-05
100,11.92401846,-0.802,-1.14041E-05
101,12.04446468,-0.8,-1.13532E-05
102,12.16490384,-0.798,-1.13325E-05
103,12.28534876,-0.796,-1.12613E-05
104,12.40579274,-0.794,-1.12169E-05
105,12.5262268,-0.792,-1.11703E-05
106,12.6466544,-0.79,-1.11111E-05
107,12.76709938,-0.788,-1.10919E-05
108,12.88753582,-0.786,-1.10699E-05
109,13.00800936,-0.784,-1.1002E-05
110,13.12844896,-0.782,-1.09722E-05
111,13.24888982,-0.78,-1.09252E-05
112,13.36932266,-0.778,-1.08763E-05
113,13.4897875,-0.776,-1.0824E-05
114,13.61022114,-0.774,-1.07662E-05
