wert,wert,wert,wert
s,t,U,I
1,0,-1,-0.024213925
2,0.12050986,-0.998,-0.024208218
3,0.24093302,-0.996,-0.024202958
4,0.36137064,-0.994,-0.024205089
5,0.48181786,-0.992,-0.024201542
6,0.60224846,-0.99,-0.024225429
7,0.72269858,-0.988,-0.024249241
8,0.84312996,-0.986,-0.024224058
9,0.96359072,-0.984,-0.02421698
10,1.08401468,-0.982,-0.024195269
11,1.20447234,-0.98,-0.024183884
12,1.32490458,-0.978,-0.024171755
13,1.44537588,-0.976,-0.024184644
14,1.56580522,-0.974,-0.02419579
15,1.68625084,-0.972,-0.024189621
16,1.80669092,-0.97,-0.024186268
17,1.92712916,-0.968,-0.024195686
18,2.04758778,-0.966,-0.024208546
19,2.1680222,-0.964,-0.024207056
20,2.28848154,-0.962,-0.024203509
21,2.40892086,-0.96,-0.02422449
22,2.52936694,-0.958,-0.024235904
23,2.6497926,-0.956,-0.024226725
24,2.77024942,-0.954,-0.024217382
25,2.89070456,-0.952,-0.02422756
26,3.01115384,-0.95,-0.024241775
27,3.13158572,-0.948,-0.024239823
28,3.2520484,-0.946,-0.024249971
29,3.37249484,-0.944,-0.024235025
30,3.49294154,-0.942,-0.024218723
31,3.61339092,-0.94,-0.024217024
32,3.73383812,-0.938,-0.02422756
33,3.85429116,-0.936,-0.024216801
34,3.97472174,-0.934,-0.024217889
35,4.0951759,-0.932,-0.024214193
36,4.21561244,-0.93,-0.024218321
37,4.33607314,-0.928,-0.024205178
38,4.4565038,-0.926,-0.024207443
39,4.57696632,-0.924,-0.024206936
40,4.69740408,-0.922,-0.02420789
41,4.81785594,-0.92,-0.024194166
42,4.93830138,-0.918,-0.024220094
43,5.05875044,-0.916,-0.02421914
44,5.17918976,-0.914,-0.0242026
45,5.29963118,-0.912,-0.024204686
46,5.42009254,-0.91,-0.024221644
47,5.54053176,-0.908,-0.024248287
48,5.66097956,-0.906,-0.024268523
49,5.78141596,-0.904,-0.024252519
50,5.9018783,-0.902,-0.024227232
51,6.02231134,-0.9,-0.024212226
52,6.14277032,-0.898,-0.024209812
53,6.26319502,-0.896,-0.024212137
54,6.38365102,-0.894,-0.024199307
55,6.50408414,-0.892,-0.024194062
56,6.62454454,-0.89,-0.024212837
57,6.74498688,-0.888,-0.02422455
58,6.86541568,-0.886,-0.024204463
59,6.98588344,-0.884,-0.02419652
60,7.10633238,-0.882,-0.02419965
61,7.22679416,-0.88,-0.024212882
62,7.34723474,-0.878,-0.024195686
63,7.46769188,-0.876,-0.02418296
64,7.58813766,-0.874,-0.024180055
65,7.70859964,-0.872,-0.024181724
66,7.82902392,-0.87,-0.024177477
67,7.94948456,-0.868,-0.024166167
68,8.0699334,-0.866,-0.024147421
69,8.1903824,-0.864,-0.024151161
70,8.31083104,-0.862,-0.024153158
71,8.43126322,-0.86,-0.024137795
72,8.5517086,-0.858,-0.024158344
73,8.67214314,-0.856,-0.024157837
