wert,wert,wert,wert
s,t,U,I
1,0,-1,-0.088316724
2,0.1204836,-0.998,-0.088246331
3,0.2409135,-0.996,-0.088175878
4,0.3613622,-0.994,-0.088305637
5,0.48181438,-0.992,-0.088145837
6,0.60225944,-0.99,-0.08826305
7,0.72272138,-0.988,-0.088243291
8,0.84315906,-0.986,-0.088269249
9,0.96361206,-0.984,-0.08837004
10,1.08406668,-0.982,-0.088365033
11,1.20452896,-0.98,-0.088367864
12,1.32496612,-0.978,-0.088333055
13,1.44541608,-0.976,-0.088343486
14,1.56584572,-0.974,-0.088282153
15,1.6863109,-0.972,-0.088253066
16,1.80673584,-0.97,-0.088228658
17,1.92717664,-0.968,-0.08834444
18,2.04763844,-0.966,-0.088350192
19,2.1680715,-0.964,-0.088426337
20,2.2885213,-0.962,-0.088389203
21,2.408959,-0.96,-0.088380501
22,2.5294177,-0.958,-0.088411912
23,2.6498543,-0.956,-0.088410452
24,2.77030466,-0.954,-0.088404134
25,2.89074392,-0.952,-0.088345423
26,3.01121322,-0.95,-0.088334933
27,3.1316613,-0.948,-0.088360533
28,3.25210806,-0.946,-0.088307336
29,3.37253848,-0.944,-0.088289812
30,3.49297128,-0.942,-0.088359222
31,3.61343634,-0.94,-0.088378266
32,3.73386746,-0.938,-0.088375881
33,3.8543365,-0.936,-0.088471636
34,3.97477434,-0.934,-0.088470861
35,4.09522772,-0.932,-0.088511154
36,4.21566706,-0.93,-0.088346705
37,4.33612886,-0.928,-0.088443711
38,4.456559,-0.926,-0.088475272
39,4.57701526,-0.924,-0.088469878
40,4.6974675,-0.922,-0.088501111
41,4.8179274,-0.92,-0.088413611
42,4.93837236,-0.918,-0.088482544
43,5.05883298,-0.916,-0.088568375
44,5.17927176,-0.914,-0.088688955
45,5.29970686,-0.912,-0.088623747
46,5.42014916,-0.91,-0.088892147
47,5.54058424,-0.908,-0.08874391
48,5.66103014,-0.906,-0.088681415
49,5.78147994,-0.904,-0.088737175
50,5.90194028,-0.902,-0.088693038
51,6.02237594,-0.9,-0.088855073
52,6.14283098,-0.898,-0.088867947
53,6.26325806,-0.896,-0.088898674
54,6.38372212,-0.894,-0.088942572
55,6.50417716,-0.892,-0.088783607
56,6.6246227,-0.89,-0.088827059
57,6.74505564,-0.888,-0.088732049
58,6.86547486,-0.886,-0.088748172
59,6.9859382,-0.884,-0.088747665
60,7.10637956,-0.882,-0.088719442
61,7.22683514,-0.88,-0.088638738
62,7.3472844,-0.878,-0.08871837
63,7.46773566,-0.876,-0.088745728
64,7.58818084,-0.874,-0.088786528
65,7.70863638,-0.872,-0.088773891
66,7.8290839,-0.87,-0.088802949
67,7.94953488,-0.868,-0.088763371
68,8.06995874,-0.866,-0.088862494
69,8.1904155,-0.864,-0.088858321
70,8.31085262,-0.862,-0.088803485
71,8.43129124,-0.86,-0.088751867
72,8.55173946,-0.858,-0.088780954
73,8.67216462,-0.856,-0.088903919
74,8.79261386,-0.854,-0.088833049
75,8.91305158,-0.852,-0.088861331
76,9.0335229,-0.85,-0.088776186
77,9.15395948,-0.848,-0.088898465
78,9.27441086,-0.846,-0.088811204
79,9.39484456,-0.844,-0.088812396
80,9.51530122,-0.842,-0.088839635
81,9.63575414,-0.84,-0.088759705
82,9.75623736,-0.838,-0.088824943
83,9.87669702,-0.836,-0.088664249
84,9.99714534,-0.834,-0.088761136
85,10.11760196,-0.832,-0.088601843
86,10.23803652,-0.83,-0.088549837
87,10.35850334,-0.828,-0.088645026
88,10.4789388,-0.826,-0.088779941
89,10.59938346,-0.824,-0.088678703
90,10.71981794,-0.822,-0.088656589
91,10.84027006,-0.82,-0.088726655
92,10.96071232,-0.818,-0.088754669
93,11.0811628,-0.816,-0.088738874
94,11.20161404,-0.814,-0.088735417
95,11.32206406,-0.812,-0.08872731
96,11.4425037,-0.81,-0.088704422
97,11.5629451,-0.808,-0.088539824
98,11.6833907,-0.806,-0.088558421
99,11.80383408,-0.804,-0.088619247
100,11.92428864,-0.802,-0.088694081
101,12.04473108,-0.8,-0.088668719
102,12.16518142,-0.798,-0.088732675
103,12.2856269,-0.796,-0.088712081
104,12.40608158,-0.794,-0.088719711
105,12.5265156,-0.792,-0.088638946
106,12.64698184,-0.79,-0.088710859
107,12.76742962,-0.788,-0.088774696
108,12.8878963,-0.786,-0.088765725
109,13.00832988,-0.784,-0.088749751
110,13.1287651,-0.782,-0.088764682
111,13.24920996,-0.78,-0.088874295
112,13.36965378,-0.778,-0.088763699
113,13.4901026,-0.776,-0.088804707
114,13.61053498,-0.774,-0.088803127
115,13.73099742,-0.772,-0.088733062
116,13.85142372,-0.77,-0.088690624
117,13.97188876,-0.768,-0.088910893
118,14.0923205,-0.766,-0.08886759
119,14.21278614,-0.764,-0.088878408
120,14.33320622,-0.762,-0.08882086
