wert,wert,wert,wert
s,t,U,I
1,0,-1,-0.038477063
2,0.12050838,-0.998,-0.038431659
3,0.24094622,-0.996,-0.038464591
4,0.3613867,-0.994,-0.038434178
5,0.48185534,-0.992,-0.038442165
6,0.60228226,-0.99,-0.038442507
7,0.72273656,-0.988,-0.038432345
8,0.84316484,-0.986,-0.038455963
9,0.96363056,-0.984,-0.038422838
10,1.08406202,-0.982,-0.03845425
11,1.20451044,-0.98,-0.038432345
12,1.32495976,-0.978,-0.03844063
13,1.44541504,-0.976,-0.038446173
14,1.56584528,-0.974,-0.038422242
15,1.68629026,-0.972,-0.038452759
16,1.80674002,-0.97,-0.038425744
17,1.92717884,-0.968,-0.038435623
18,2.04764518,-0.966,-0.038426653
19,2.16807778,-0.964,-0.038425371
20,2.28854092,-0.962,-0.038429797
21,2.40896602,-0.96,-0.03840813
22,2.52943596,-0.958,-0.038434386
23,2.64987232,-0.956,-0.038408816
24,2.77031914,-0.954,-0.038424492
25,2.89075862,-0.952,-0.038419545
26,3.01121044,-0.95,-0.038419127
27,3.13166348,-0.948,-0.03842482
28,3.25212494,-0.946,-0.038419783
29,3.37255808,-0.944,-0.038439929
30,3.49301384,-0.942,-0.038417786
31,3.61346546,-0.94,-0.038427159
32,3.73390062,-0.938,-0.038423002
33,3.85435174,-0.936,-0.03841342
34,3.97477318,-0.934,-0.038421527
35,4.0952229,-0.932,-0.038399562
36,4.21566256,-0.93,-0.038411573
37,4.33610876,-0.928,-0.038394824
38,4.45654624,-0.926,-0.038404122
39,4.57699788,-0.924,-0.03839837
40,4.69743868,-0.922,-0.038387954
41,4.81789122,-0.92,-0.038401127
42,4.93833416,-0.918,-0.038383976
43,5.05878934,-0.916,-0.038395002
44,5.1792288,-0.914,-0.038389832
45,5.29968448,-0.912,-0.038389996
46,5.42013826,-0.91,-0.038391352
47,5.54057864,-0.908,-0.038386166
48,5.66102488,-0.906,-0.038399413
49,5.7814754,-0.904,-0.038392991
50,5.90192846,-0.902,-0.03840287
51,6.02237904,-0.9,-0.03839457
52,6.14284526,-0.898,-0.038400441
53,6.26327882,-0.896,-0.038397878
54,6.3837471,-0.894,-0.038385227
55,6.5041835,-0.892,-0.038399622
56,6.62463814,-0.89,-0.038384691
57,6.74508772,-0.888,-0.038394541
58,6.8655312,-0.886,-0.03838852
59,6.98598844,-0.884,-0.038378164
60,7.10643368,-0.882,-0.038391396
61,7.22688368,-0.88,-0.038381517
62,7.34731992,-0.878,-0.03838481
63,7.46777992,-0.876,-0.038370371
64,7.58819978,-0.874,-0.038366765
65,7.70865846,-0.872,-0.038368568
66,7.82909032,-0.87,-0.038361326
