t / s;T_1 / °C;T_2 / °C;T_3 / °C;T_4 / °C;&DT / °C
0;20,9;18,9;22,9;23,2;2
1;20,9;18,9;22,9;23,2;2
2;20,9;18,9;22,9;23,2;2
3;20,9;18,9;22,9;23,2;2
4;20,9;18,9;22,9;23,1;2
5;20,9;18,9;22,9;23,1;2
6;20,9;18,9;22,9;23,1;2
7;20,9;18,9;22,9;23,1;2
8;20,9;18,9;22,9;23,1;2
9;20,9;18,9;22,9;23,1;2
10;20,9;18,9;22,9;23,1;2
11;20,9;18,9;22,9;23,1;2
12;20,9;18,9;22,9;23,1;2
13;20,9;18,9;22,9;23,1;2
14;20,9;18,9;22,9;23,1;2
15;20,9;18,9;22,9;23,1;2
16;20,9;18,9;22,9;23,1;2
17;20,9;18,9;22,9;23,1;2
18;20,9;18,9;22,9;23,1;2
19;20,9;18,9;22,9;23,1;2
20;20,9;18,9;22,9;23,1;2
21;20,9;18,9;22,9;23,1;2
22;20,9;18,9;22,9;23,1;2
23;20,9;18,9;22,9;23,1;2
24;20,9;18,9;22,9;23,1;2
25;20,9;18,9;22,9;23,1;2
26;20,9;18,9;22,9;23,1;2
27;20,9;18,9;22,9;23,2;2
28;20,9;18,9;22,9;23,2;2
29;20,9;18,9;22,9;23,2;2
30;20,9;18,9;22,9;23,2;2
31;20,9;18,9;22,9;23,2;2
32;20,9;18,9;22,9;23,2;2
33;20,9;18,9;22,9;23,2;2
34;20,9;18,9;22,9;23,2;2
35;20,9;18,9;22,9;23,1;2
36;20,9;18,9;22,9;23,1;2
37;20,9;18,9;22,9;23,1;2
38;20,9;18,9;22,8;23,1;2
39;20,9;18,9;22,8;23,2;2
40;20,9;18,9;22,8;23,2;2
41;20,9;18,9;22,6;23,4;2
42;20,9;18,9;20,1;23,6;2
43;20,9;18,9;19,1;23,7;2
44;20,9;18,9;18,1;23,7;2
45;20,9;18,9;17,6;23,7;2
46;20,9;18,9;17,5;23,9;2
47;20,9;18,9;17,3;23,9;2
48;20,9;18,9;17,2;23,9;2
49;20,9;18,9;17,1;23,9;2
50;20,9;18,9;17,1;24;2
51;20,9;18,9;17;24;2
52;20,9;18,9;16,9;24,1;2
53;20,9;18,9;16,9;24,1;2
54;20,9;18,9;16,8;24,2;2
55;20,9;18,9;16,8;24,2;2
56;20,9;18,9;16,8;24,2;2
57;20,9;18,9;16,8;24,1;2
58;20,9;18,9;16,8;24,1;2
59;20,9;19;16,7;24,1;1,9
60;20,9;19;16,6;24,1;1,9
61;20,9;19;16,6;24,1;1,9
62;20,9;19;16,6;24,1;1,9
63;20,9;19;16,5;24;1,9
64;20,9;19;16,5;24;1,9
65;20,9;19;16,5;24;1,9
66;20,9;19;16,4;24;1,9
67;20,9;19;16,4;24;1,9
68;20,9;19;16,3;24;1,9
69;20,9;19;16,3;24;1,9
70;20,9;19;16,3;24;1,9
71;20,9;19;16,2;24;1,9
72;20,9;19;16,2;24;1,9
73;20,9;19;16,1;24;1,9
74;20,9;19;16,1;24;1,9
75;20,9;19;16;24;1,9
76;20,9;19;16;24;1,9
77;20,9;19;16;24;1,9
78;20,9;19;15,9;24;1,9
79;20,9;19;15,9;24;1,9
80;20,9;19;15,9;24,1;1,9
81;20,9;19;15,8;24,1;1,9
82;20,9;19;15,8;24,1;1,9
83;20,9;19;15,8;24,2;1,9
84;20,9;19;15,7;24,2;1,9
85;20,9;19;15,7;24,2;1,9
86;20,9;19;15,7;24,2;1,9
87;20,9;19;15,7;24,2;1,9
88;20,9;19;15,6;24,2;1,9
89;20,9;19;15,6;24,2;1,9
90;20,9;19;15,6;24,2;1,9
91;20,9;19;15,6;24,2;1,9
92;20,9;19;15,6;24,2;1,9
93;20,9;19;15,6;24,3;1,9
94;20,9;19;15,6;24,3;1,9
95;20,9;19;15,5;24,3;1,9
96;20,9;19;15,5;24,3;1,9
97;20,9;19;15,5;24,3;1,9
98;20,9;19;15,5;24,3;1,9
99;20,9;19;15,4;24,3;1,9
100;20,9;19;15,4;24,3;1,9
101;20,9;19;15,4;24,4;1,9
102;20,9;19;15,4;24,4;1,9
103;20,9;19;15,4;24,4;1,9
104;20,9;19;15,4;24,4;1,9
105;20,9;19;15,3;24,4;1,9
106;20,9;19;15,3;24,4;1,9
107;20,9;19;15,3;24,4;1,9
108;20,9;19;15,2;24,4;1,9
109;20,9;19;15,2;24,4;1,9
110;20,9;19;15,2;24,4;1,9
111;20,9;19;15,1;24,4;1,9
112;20,8;19;15,1;24,5;1,8
113;20,7;19;15,1;24,5;1,7
114;20,6;19;15,1;24,5;1,6
115;20,5;19;15,1;24,5;1,5
116;20,5;19;15,1;24,5;1,5
117;20,4;19;15,1;24,5;1,4
118;20,4;19;15;24,5;1,4
119;20,4;19;15;24,5;1,4
120;20,4;19;15;24,5;1,4
121;20,4;19;15;24,5;1,4
122;20,2;19;15;24,6;1,2
123;20;19;14,9;24,6;1
124;19,7;19;14,9;24,6;0,7
125;19,6;19;14,9;24,7;0,6
126;19,5;19;14,9;24,7;0,5
127;19,4;19;14,9;24,7;0,4
128;19,4;19;14,9;24,7;0,4
129;19,4;19;14,9;24,7;0,4
130;19,3;19;14,8;24,7;0,3
131;19,3;19;14,8;24,7;0,3
132;19,3;19;14,8;24,7;0,3
133;19,3;19;14,8;24,7;0,3
134;19,3;19;14,8;24,7;0,3
135;19,3;19;14,7;24,7;0,3
136;19,3;19;14,7;24,7;0,3
137;19,2;19;14,7;24,7;0,2
138;19,2;19,1;14,7;24,8;0,1
139;19,2;19,1;14,7;24,8;0,1
140;19,2;19,1;14,7;24,8;0,1
141;19,1;19,1;14,7;24,8;0
142;19,1;19,1;14,6;24,8;0
143;19,1;19,1;14,6;24,8;0
144;19;19,1;14,6;24,8;-0,1
145;19;19,1;14,5;24,8;-0,1
146;18,9;19,2;14,5;24,8;-0,3
147;18,9;19,2;14,5;24,9;-0,3
148;18,8;19,2;14,5;24,9;-0,4
149;18,7;19,2;14,5;24,9;-0,5
150;18,7;19,2;14,5;24,9;-0,5
151;18,7;19,2;14,5;24,9;-0,5
152;18,7;19,2;14,4;24,9;-0,5
153;18,7;19,2;14,4;24,9;-0,5
154;18,6;19,2;14,4;24,9;-0,6
155;18,6;19,2;14,4;24,9;-0,6
156;18,6;19,2;14,4;25;-0,6
157;18,6;19,2;14,4;25;-0,6
158;18,6;19,2;14,3;25;-0,6
159;18,6;19,2;14,3;25;-0,6
160;18,6;19,2;14,3;25;-0,6
161;18,6;19,2;14,2;25;-0,6
162;18,5;19,2;14,2;25;-0,7
163;18,5;19,2;14,2;25;-0,7
164;18,5;19,2;14,2;25;-0,7
165;18,5;19,3;14,2;25,1;-0,8
166;18,5;19,3;14,2;25,1;-0,8
167;18,4;19,3;14,2;25,1;-0,9
168;18,3;19,3;14,2;25,1;-1
169;18,3;19,3;14,2;25,1;-1
170;18,3;19,3;14,2;25,1;-1
171;18,3;19,3;14,2;25,1;-1
172;18,3;19,3;14,2;25,1;-1
173;18,3;19,3;14,2;25,2;-1
174;18,2;19,3;14,2;25,2;-1,1
175;18,2;19,3;14,1;25,2;-1,1
176;18,2;19,4;14,1;25,2;-1,2
177;18,2;19,4;14,1;25,2;-1,2
178;18,2;19,5;14,1;25,2;-1,3
179;18,2;20;14;25,2;-1,8
180;18,2;20,1;14;25,2;-1,9
181;18,1;20,1;14;25,2;-2
182;18,1;20,1;14;25,2;-2
183;18,1;20,2;13,9;25,1;-2,1
184;18;20,7;13,9;25,1;-2,7
185;18;20,7;13,9;25,1;-2,7
186;18,2;21;13,8;25,1;-2,8
187;18,1;21,1;13,8;25,1;-3
188;18,1;20,9;13,8;25;-2,8
189;18;20,9;13,8;25;-2,9
190;18,2;21,2;13,9;24,9;-3
191;18;20,8;13,9;24,9;-2,8
192;18,4;20,7;13,9;24,9;-2,3
193;18,6;20,6;13,9;24,9;-2
194;19;20,5;13,9;24,9;-1,5
195;19,3;20,3;13,9;24,8;-1
196;19,4;20,3;13,9;24,8;-0,9
197;19,4;20,2;13,9;24,8;-0,8
198;18,9;20,4;13,9;24,8;-1,5
199;19;20,4;13,9;24,8;-1,4
200;18,8;20,7;13,9;24,8;-1,9
201;18,6;21;13,9;24,8;-2,4
202;18,6;21;13,9;24,8;-2,4
203;18,7;21;13,9;24,8;-2,3
204;18,6;21;13,9;24,8;-2,4
205;18,6;20,9;13,9;24,8;-2,3
206;18,7;20,8;13,8;24,8;-2,1
207;18,8;20,8;13,7;24,8;-2
208;18,7;20,9;13,7;24,8;-2,2
209;18,8;20,9;13,8;24,8;-2,1
210;18,8;20,8;13,7;24,9;-2
211;18,7;20,9;13,7;24,9;-2,2
212;18,9;20,9;13,7;24,9;-2
213;18,9;20,9;13,7;25;-2
214;18,8;21,1;13,7;25;-2,3
215;18,6;21,2;13,7;25;-2,6
216;18,6;21,3;13,7;25,1;-2,7
217;18,5;21,4;13,6;25,1;-2,9
218;18,3;21,4;13,6;25,1;-3,1
219;18,1;21,3;13,6;25,2;-3,2
220;18,1;21,1;13,6;25,2;-3
221;18,2;21,1;13,6;25,2;-2,9
222;18,2;21,2;13,6;25,2;-3
223;18,2;21,3;13,6;25,3;-3,1
224;18,1;21,4;13,6;25,3;-3,3
225;18,1;21,4;13,6;25,3;-3,3
226;18,1;21,4;13,6;25,4;-3,3
227;18,3;21,3;13,6;25,4;-3
228;18,4;21,2;13,6;25,5;-2,8
229;18,3;21,2;13,6;25,5;-2,9
230;18,1;21,3;13,6;25,5;-3,2
231;18;21,3;13,5;25,5;-3,3
232;18;21,5;13,5;25,5;-3,5
233;18;21,6;13,5;25,6;-3,6
234;17,9;21,6;13,5;25,6;-3,7
235;17,8;21,6;13,5;25,6;-3,8
236;17,8;21,5;13,5;25,7;-3,7
237;17,8;21,5;13,5;25,7;-3,7
238;17,8;21,4;13,5;25,8;-3,6
239;17,9;21,4;13,5;25,8;-3,5
240;17,9;21,4;13,5;25,8;-3,5
241;17,9;21,5;13,5;25,8;-3,6
242;17,9;21,5;13,5;25,8;-3,6
243;17,9;21,5;13,4;25,8;-3,6
244;17,8;21,5;13,4;25,8;-3,7
245;17,8;21,5;13,4;25,8;-3,7
246;17,8;21,5;13,4;25,8;-3,7
247;17,8;21,4;13,4;25,9;-3,6
248;17,7;21,4;13,4;25,9;-3,7
249;17,7;21,3;13,4;25,9;-3,6
250;17,6;21,3;13,4;25,9;-3,7
251;17,6;21,3;13,4;25,9;-3,7
252;17,6;21,3;13,4;25,9;-3,7
253;17,6;21,4;13,3;25,9;-3,8
254;17,6;21,4;13,3;25,9;-3,8
255;17,5;21,5;13,3;26;-4
256;17,5;21,5;13,3;26;-4
257;17,4;21,5;13,3;26;-4,1
258;17,4;21,5;13,3;26;-4,1
259;17,4;21,5;13,3;26;-4,1
260;17,4;21,5;13,3;26;-4,1
261;17,5;21,5;13,3;26,1;-4
262;17,4;21,5;13,3;26,1;-4,1
263;17,4;21,5;13,3;26,1;-4,1
264;17,3;21,5;13,2;26,1;-4,2
265;17,3;21,5;13,2;26,1;-4,2
266;17,4;21,5;13,2;26,1;-4,1
267;17,4;21,6;13,2;26,1;-4,2
268;17,4;21,6;13,2;26,1;-4,2
269;17,4;21,7;13,2;26,1;-4,3
270;17,4;21,7;13,2;26,1;-4,3
271;17,4;21,8;13,2;26,2;-4,4
272;17,4;21,8;13,2;26,2;-4,4
273;17,4;21,8;13,2;26,2;-4,4
274;17,4;21,8;13,2;26,2;-4,4
275;17,4;21,8;13,2;26,2;-4,4
276;17,3;21,8;13,2;26,3;-4,5
277;17,3;21,8;13,2;26,3;-4,5
278;17,3;21,7;13,2;26,3;-4,4
279;17,3;21,7;13,2;26,3;-4,4
280;17,2;21,7;13,1;26,3;-4,5
281;17,2;21,7;13,1;26,3;-4,5
282;17,2;21,7;13,1;26,3;-4,5
283;17,2;21,6;13,1;26,3;-4,4
284;17,2;21,6;13,1;26,3;-4,4
285;17,1;21,6;13,1;26,3;-4,5
286;17,1;21,7;13,1;26,3;-4,6
287;17,1;21,7;13,1;26,3;-4,6
288;17,1;21,7;13,1;26,3;-4,6
289;17;21,8;13,1;26,4;-4,8
290;17;21,8;13,1;26,4;-4,8
291;17;21,8;13;26,4;-4,8
292;16,9;21,9;13;26,4;-5
293;16,9;21,9;13;26,4;-5
294;16,9;21,9;13;26,4;-5
295;16,9;21,9;13;26,4;-5
296;16,9;21,9;13;26,4;-5
297;16,9;22;13;26,4;-5,1
298;16,9;22;13;26,4;-5,1
